"Entry","Status","Gene.names","Organism","Gene.ontology..biological.process.","Gene.ontology..cellular.component.","Gene.ontology..molecular.function.","Gene.ontology.IDs"
"W5JY08","unreviewed","clptm1l","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"W5KL07","unreviewed","kirrel3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1JG69","unreviewed","enpp7","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","catalytic activity [GO:0003824]","GO:0003824; GO:0016021"
"W5KWS2","unreviewed","eef1akmt2 mettl10","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoplasm [GO:0005737]; nucleus [GO:0005634]","protein-lysine N-methyltransferase activity [GO:0016279]","GO:0005634; GO:0005737; GO:0016279"
"W5LT62","unreviewed","p2ry14","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","G protein-coupled receptor activity [GO:0004930]","GO:0004930; GO:0016021"
"W5K2Q0","unreviewed","ephb3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","ATP binding [GO:0005524]; ephrin receptor activity [GO:0005003]","GO:0005003; GO:0005524; GO:0005886; GO:0016021"
"A0A3B1K474","unreviewed","cog5","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","intra-Golgi vesicle-mediated transport [GO:0006891]","Golgi transport complex [GO:0017119]; membrane [GO:0016020]","","GO:0006891; GO:0016020; GO:0017119"
"A0A3B1IJM1","unreviewed","mtfp1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1JTI6","unreviewed","prima1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1J265","unreviewed","lgr6","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","G protein-coupled receptor activity [GO:0004930]; protein-hormone receptor activity [GO:0016500]","GO:0004930; GO:0005886; GO:0016021; GO:0016500"
"A0A3B1IZG4","unreviewed","mmp1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","extracellular matrix [GO:0031012]","metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]","GO:0004222; GO:0008270; GO:0031012"
"A0A3B1IG36","unreviewed","tmem68","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","endoplasmic reticulum [GO:0005783]","transferase activity, transferring acyl groups [GO:0016746]","GO:0005783; GO:0016746"
"A0A3B1JIN8","unreviewed","tgfb1i1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cell differentiation [GO:0030154]; Wnt signaling pathway [GO:0016055]","cytoskeleton [GO:0005856]; focal adhesion [GO:0005925]; nuclear matrix [GO:0016363]","metal ion binding [GO:0046872]","GO:0005856; GO:0005925; GO:0016055; GO:0016363; GO:0030154; GO:0046872"
"W5KN71","unreviewed","prdm15","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","methylation [GO:0032259]","integral component of membrane [GO:0016021]","methyltransferase activity [GO:0008168]","GO:0008168; GO:0016021; GO:0032259"
"W5LHR3","unreviewed","jak1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","intracellular signal transduction [GO:0035556]","cytoskeleton [GO:0005856]; membrane [GO:0016020]","ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]","GO:0004714; GO:0004715; GO:0005524; GO:0005856; GO:0016020; GO:0035556"
"A0A3B1KDV6","unreviewed","trim67","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]","zinc ion binding [GO:0008270]","GO:0005737; GO:0005856; GO:0008270"
"W5KGL4","unreviewed","tmc2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","inner ear receptor cell development [GO:0060119]; lateral line development [GO:0048882]","integral component of plasma membrane [GO:0005887]","","GO:0005887; GO:0048882; GO:0060119"
"A0A3B1K2U4","unreviewed","slc49a3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","transmembrane transporter activity [GO:0022857]","GO:0016021; GO:0022857"
"A0A3B1JX74","unreviewed","clasp1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","condensed chromosome kinetochore [GO:0000777]; cytoplasmic microtubule [GO:0005881]; Golgi apparatus [GO:0005794]; kinetochore microtubule [GO:0005828]; microtubule organizing center [GO:0005815]","kinetochore binding [GO:0043515]; microtubule plus-end binding [GO:0051010]","GO:0000777; GO:0005794; GO:0005815; GO:0005828; GO:0005881; GO:0043515; GO:0051010"
"A0A3B1KM62","unreviewed","cntnap2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"W5K8S7","unreviewed","fat4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]","plasma membrane [GO:0005886]","calcium ion binding [GO:0005509]","GO:0005509; GO:0005886; GO:0007156"
"A0A3B1K9F3","unreviewed","tlcd1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"W5LH11","unreviewed","rtel1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; regulation of double-strand break repair via homologous recombination [GO:0010569]; telomere maintenance [GO:0000723]","nucleus [GO:0005634]","4 iron, 4 sulfur cluster binding [GO:0051539]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]; metal ion binding [GO:0046872]","GO:0000723; GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0006260; GO:0006281; GO:0006310; GO:0010569; GO:0016818; GO:0046872; GO:0051539"
"A0A3B1ITJ7","unreviewed","smarca4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of transcription, DNA-templated [GO:0006355]","nucleus [GO:0005634]","ATP binding [GO:0005524]; helicase activity [GO:0004386]; histone binding [GO:0042393]; hydrolase activity [GO:0016787]; nucleosome-dependent ATPase activity [GO:0070615]","GO:0004386; GO:0005524; GO:0005634; GO:0006355; GO:0016787; GO:0042393; GO:0070615"
"W5KP92","unreviewed","phactr1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","actin cytoskeleton reorganization [GO:0031532]","cytoplasm [GO:0005737]; nucleus [GO:0005634]; synapse [GO:0045202]","actin binding [GO:0003779]; protein phosphatase 1 binding [GO:0008157]; protein phosphatase inhibitor activity [GO:0004864]; protein phosphatase regulator activity [GO:0019888]","GO:0003779; GO:0004864; GO:0005634; GO:0005737; GO:0008157; GO:0019888; GO:0031532; GO:0045202"
"A0A3B1J9G3","unreviewed","znf276","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","zinc ion binding [GO:0008270]","GO:0005634; GO:0008270"
"W5KE54","unreviewed","fbxo40","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]","GO:0008270; GO:0061630"
"A0A3B1IWK0","unreviewed","hdac3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","metal ion binding [GO:0046872]; NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041]","GO:0005634; GO:0032041; GO:0046872"
"W5LJ29","unreviewed","cdc14a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; protein tyrosine phosphatase activity [GO:0004725]","GO:0004725; GO:0008138; GO:0106306; GO:0106307"
"W5K8T4","unreviewed","csmd1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1K747","unreviewed","rab14","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","GTPase activity [GO:0003924]; GTP binding [GO:0005525]","GO:0003924; GO:0005525"
"W5K8U1","unreviewed","nox4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","oxidoreductase activity [GO:0016491]","GO:0016021; GO:0016491"
"A0A3B1K3B6","unreviewed","eif3j eif3s1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","formation of cytoplasmic translation initiation complex [GO:0001732]","eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]","translation initiation factor activity [GO:0003743]","GO:0001732; GO:0003743; GO:0005852; GO:0016282; GO:0033290"
"W5KH74","unreviewed","plekhb1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1K4Z4","unreviewed","adi1 mtcbp1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","L-methionine salvage from methylthioadenosine [GO:0019509]","cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]","acireductone dioxygenase [iron(II)-requiring] activity [GO:0010309]; iron ion binding [GO:0005506]","GO:0005506; GO:0005634; GO:0005737; GO:0005886; GO:0010309; GO:0019509"
"A0A3B1K0X0","unreviewed","vav1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","small GTPase mediated signal transduction [GO:0007264]","","guanyl-nucleotide exchange factor activity [GO:0005085]; metal ion binding [GO:0046872]","GO:0005085; GO:0007264; GO:0046872"
"A0A3B1IFD7","unreviewed","endov","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","DNA repair [GO:0006281]","integral component of membrane [GO:0016021]","endonuclease activity [GO:0004519]","GO:0004519; GO:0006281; GO:0016021"
"A0A3B1IDN6","unreviewed","creb1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]","GO:0003677; GO:0003700; GO:0005634"
"A0A3B1J2X6","unreviewed","cyp4f8","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]","GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037"
"W5LBF1","unreviewed","tarbp2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","miRNA loading onto RISC involved in gene silencing by miRNA [GO:0035280]; pre-miRNA processing [GO:0031054]; production of siRNA involved in RNA interference [GO:0030422]; regulation of production of miRNAs involved in gene silencing by miRNA [GO:1903798]; regulation of production of siRNA involved in RNA interference [GO:0090065]; regulation of translation [GO:0006417]; regulation of viral transcription [GO:0046782]; targeting of mRNA for destruction involved in RNA interference [GO:0030423]","cytoplasm [GO:0005737]; RISC complex [GO:0016442]; RISC-loading complex [GO:0070578]","double-stranded RNA binding [GO:0003725]; miRNA binding [GO:0035198]; pre-miRNA binding [GO:0070883]; protein homodimerization activity [GO:0042803]; siRNA binding [GO:0035197]","GO:0003725; GO:0005737; GO:0006417; GO:0016442; GO:0030422; GO:0030423; GO:0031054; GO:0035197; GO:0035198; GO:0035280; GO:0042803; GO:0046782; GO:0070578; GO:0070883; GO:0090065; GO:1903798"
"A0A3B1KDG8","unreviewed","serpinb8","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","extracellular space [GO:0005615]","","GO:0005615"
"A0A3B1IYH3","unreviewed","p2ry8","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","G protein-coupled receptor activity [GO:0004930]","GO:0004930; GO:0016021"
"A0A3B1K4E5","unreviewed","rnf11","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","metal ion binding [GO:0046872]","GO:0046872"
"A0A3B1JHU0","unreviewed","ncoa3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","nuclear hormone receptor binding [GO:0035257]; nuclear receptor coactivator activity [GO:0030374]; protein dimerization activity [GO:0046983]","GO:0005634; GO:0030374; GO:0035257; GO:0046983"
"A0A3B1IZ31","unreviewed","hes6","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of transcription, DNA-templated [GO:0006355]","","DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]","GO:0003677; GO:0006355; GO:0046983"
"W5L0P6","unreviewed","szt2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","peroxisome [GO:0005777]","","GO:0005777"
"A0A3B1KCV9","unreviewed","abr","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","intracellular signal transduction [GO:0035556]; positive regulation of GTPase activity [GO:0043547]","axon [GO:0030424]; dendritic spine [GO:0043197]","guanyl-nucleotide exchange factor activity [GO:0005085]; protein serine/threonine kinase activity [GO:0004674]","GO:0004674; GO:0005085; GO:0030424; GO:0035556; GO:0043197; GO:0043547"
"A0A3B1K4E3","unreviewed","msantd2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1J1T5","unreviewed","plpp7","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1IG83","unreviewed","nat10","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","ribosomal small subunit biogenesis [GO:0042274]; rRNA modification [GO:0000154]; tRNA acetylation [GO:0051391]","nucleolus [GO:0005730]","ATP binding [GO:0005524]; N-acetyltransferase activity [GO:0008080]","GO:0000154; GO:0005524; GO:0005730; GO:0008080; GO:0042274; GO:0051391"
"A0A3B1K2P7","unreviewed","plcb4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","intracellular signal transduction [GO:0035556]; lipid catabolic process [GO:0016042]","","calcium ion binding [GO:0005509]; phosphatidylinositol phospholipase C activity [GO:0004435]","GO:0004435; GO:0005509; GO:0016042; GO:0035556"
"W5KTJ0","unreviewed","chd4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; nucleosome-dependent ATPase activity [GO:0070615]","GO:0003678; GO:0005524; GO:0016787; GO:0046872; GO:0070615"
"W5KJ37","unreviewed","arrdc4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5LCZ3","unreviewed","sema4f","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","semaphorin receptor binding [GO:0030215]","GO:0016021; GO:0030215"
"A0A3B1JAT5","unreviewed","zbtb38","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1KC96","unreviewed","foxn2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]","GO:0003700; GO:0005634; GO:0043565"
"A0A3B1JCV0","unreviewed","itga7","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cell adhesion [GO:0007155]; integrin-mediated signaling pathway [GO:0007229]","integrin complex [GO:0008305]","","GO:0007155; GO:0007229; GO:0008305"
"A0A3B1IE44","unreviewed","rap1gap","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","positive regulation of GTPase activity [GO:0043547]; regulation of small GTPase mediated signal transduction [GO:0051056]","","GTPase activator activity [GO:0005096]","GO:0005096; GO:0043547; GO:0051056"
"A0A3B1JMC4","unreviewed","cckbr","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","gastrin receptor activity [GO:0015054]","GO:0005886; GO:0015054; GO:0016021"
"W5K587","unreviewed","rimbp2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1KJ68","unreviewed","arap1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","positive regulation of GTPase activity [GO:0043547]; signal transduction [GO:0007165]","","GTPase activator activity [GO:0005096]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]","GO:0005096; GO:0005547; GO:0007165; GO:0043547"
"W5L3E1","unreviewed","pdia6","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","endoplasmic reticulum lumen [GO:0005788]; melanosome [GO:0042470]","protein disulfide isomerase activity [GO:0003756]","GO:0003756; GO:0005788; GO:0042470"
"A0A3B1KA96","unreviewed","maneal","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]","hydrolase activity, acting on glycosyl bonds [GO:0016798]","GO:0000139; GO:0016021; GO:0016798"
"W5LPT1","unreviewed","shld2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5L7I5","unreviewed","mpeg1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoplasmic vesicle membrane [GO:0030659]; integral component of membrane [GO:0016021]","","GO:0016021; GO:0030659"
"A0A3B1IIT7","unreviewed","slc24a2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","calcium ion transport [GO:0006816]","integral component of membrane [GO:0016021]","antiporter activity [GO:0015297]","GO:0006816; GO:0015297; GO:0016021"
"A0A3B1K0E7","unreviewed","cxorf56","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5KSD8","unreviewed","atp2a1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]; sarcoplasmic reticulum membrane [GO:0033017]","ATP binding [GO:0005524]; metal ion binding [GO:0046872]; P-type calcium transporter activity [GO:0005388]","GO:0005388; GO:0005524; GO:0016021; GO:0033017; GO:0046872"
"A0A3B1J5M5","unreviewed","tesk1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]","GO:0004672; GO:0005524; GO:0046872"
"A0A3B1J786","unreviewed","uqcrfs1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]","2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]","GO:0005743; GO:0008121; GO:0016021; GO:0046872; GO:0051537; GO:0070469"
"W5LCC3","unreviewed","dcstamp","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1JEI7","unreviewed","edil3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","calcium ion binding [GO:0005509]","GO:0005509"
"A0A3B1IM43","unreviewed","diaph3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","actin cytoskeleton organization [GO:0030036]","","small GTPase binding [GO:0031267]","GO:0030036; GO:0031267"
"A0A3B1IRG3","unreviewed","chrna1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]","acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]","GO:0004888; GO:0016021; GO:0022848; GO:0045211"
"W5LUE1","unreviewed","tmem60","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1KJC0","unreviewed","rab31","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","GTPase activity [GO:0003924]; GTP binding [GO:0005525]","GO:0003924; GO:0005525"
"A0A3B1K151","unreviewed","cldn3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","bicellular tight junction [GO:0005923]; integral component of membrane [GO:0016021]","structural molecule activity [GO:0005198]","GO:0005198; GO:0005923; GO:0016021"
"A0A3B1JBV6","unreviewed","tnfrsf11b","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1IHX9","unreviewed","scrt1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5KDU2","unreviewed","lgals4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","carbohydrate binding [GO:0030246]","GO:0030246"
"A0A3B1J2W5","unreviewed","abhd1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","hydrolase activity [GO:0016787]","GO:0016787"
"A0A3B1J8R1","unreviewed","wee1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]","GO:0004674; GO:0005524"
"A0A3B1IFT5","unreviewed","eef1akmt3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","methylation [GO:0032259]","","methyltransferase activity [GO:0008168]","GO:0008168; GO:0032259"
"W5LLU1","unreviewed","nemf","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"W5LHF9","unreviewed","jag1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","multicellular organism development [GO:0007275]; Notch signaling pathway [GO:0007219]","integral component of membrane [GO:0016021]","calcium ion binding [GO:0005509]; Notch binding [GO:0005112]","GO:0005112; GO:0005509; GO:0007219; GO:0007275; GO:0016021"
"A0A3B1JV02","unreviewed","sec14l1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1KI75","unreviewed","dnph1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","deoxyribonucleoside monophosphate catabolic process [GO:0009159]; nucleoside metabolic process [GO:0009116]; nucleotide metabolic process [GO:0009117]","cytoplasm [GO:0005737]; nucleus [GO:0005634]","deoxyribonucleoside 5'-monophosphate N-glycosidase activity [GO:0070694]","GO:0005634; GO:0005737; GO:0009116; GO:0009117; GO:0009159; GO:0070694"
"A0A3B1IRS6","unreviewed","thap1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cell cycle [GO:0007049]","nucleoplasm [GO:0005654]","metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]","GO:0005654; GO:0007049; GO:0043565; GO:0046872"
"A0A3B1IY05","unreviewed","inhbc","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","extracellular region [GO:0005576]","growth factor activity [GO:0008083]; hormone activity [GO:0005179]","GO:0005179; GO:0005576; GO:0008083"
"A0A3B1JNE7","unreviewed","ssr4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]","","GO:0005783; GO:0016021"
"A0A3B1KAS9","unreviewed","sla","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of signal transduction [GO:0009966]","","","GO:0009966"
"A0A3B1ISF8","unreviewed","mettl7a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","methyltransferase activity [GO:0008168]","GO:0008168"
"W5LU26","unreviewed","nhlrc1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","metal ion binding [GO:0046872]","GO:0046872"
"A0A3B1J349","unreviewed","rhog","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","small GTPase mediated signal transduction [GO:0007264]","","GTPase activity [GO:0003924]; GTP binding [GO:0005525]","GO:0003924; GO:0005525; GO:0007264"
"A0A3B1KBV8","unreviewed","rapgef4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","small GTPase mediated signal transduction [GO:0007264]","","guanyl-nucleotide exchange factor activity [GO:0005085]","GO:0005085; GO:0007264"
"W5LHR6","unreviewed","pgm1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","glucose metabolic process [GO:0006006]","","intramolecular transferase activity, phosphotransferases [GO:0016868]; magnesium ion binding [GO:0000287]","GO:0000287; GO:0006006; GO:0016868"
"W5LDM8","unreviewed","kif5a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","microtubule-based movement [GO:0007018]","microtubule [GO:0005874]","ATP binding [GO:0005524]; ATP-dependent microtubule motor activity [GO:1990939]; microtubule binding [GO:0008017]","GO:0005524; GO:0005874; GO:0007018; GO:0008017; GO:1990939"
"W5LN13","unreviewed","sdc3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"W5L490","unreviewed","arel1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ubiquitin-protein transferase activity [GO:0004842]","GO:0004842"
"A0A3B1JAM3","unreviewed","ak1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","ADP biosynthetic process [GO:0006172]; AMP metabolic process [GO:0046033]; ATP metabolic process [GO:0046034]; nucleoside triphosphate biosynthetic process [GO:0009142]","cytoplasm [GO:0005737]","adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; nucleoside diphosphate kinase activity [GO:0004550]","GO:0004017; GO:0004550; GO:0005524; GO:0005737; GO:0006172; GO:0009142; GO:0046033; GO:0046034"
"W5KUV8","unreviewed","sppl2a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","membrane protein intracellular domain proteolysis [GO:0031293]; regulation of immune response [GO:0050776]","integral component of membrane [GO:0016021]","aspartic endopeptidase activity, intramembrane cleaving [GO:0042500]","GO:0016021; GO:0031293; GO:0042500; GO:0050776"
"W5KDC2","unreviewed","slc2a13","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","transmembrane transporter activity [GO:0022857]","GO:0016021; GO:0022857"
"W5KMK6","unreviewed","eif2ak4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","DNA damage checkpoint [GO:0000077]","","ATP binding [GO:0005524]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]","GO:0000077; GO:0004694; GO:0005524"
