Marker,Chromosome,Linkage_Group,Cross,Start_Position_on_Chromosome,End_Position_on_Chromosome,LOD,Quantitative_Trait,Percent_Variance_Explained,Study_Specific_Information,Publication
RAD_59634,6,17,Pachon x Texas Surface F2 and F3,38375880,38375975,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_59634,6,17,Pachon x Texas Surface F2 and F3,38375880,38375975,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_59634,6,17,NA,38375880,38375975,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_59634,6,17,NA,38375880,38375975,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_31011,6,17,Pachon x Surface F2,39176554,39176649,NA,NA,NA,NA,Protas_et_al.2008
RAD_31011,6,17,Pachon x Surface F2,39176554,39176649,NA,NA,NA,NA,Protas_et_al.2007
RAD_31011,6,17,Pachon x Texas Surface F2 and F3,39176554,39176649,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_31011,6,17,Pachon x Texas Surface F2 and F3,39176554,39176649,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_31011,6,17,Pachon x Texas Surface F2 and F3,39176554,39176649,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_31011,6,17,Pachon x Texas Surface F2 and F3,39176554,39176649,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_31011,6,17,NA,39176554,39176649,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_31011,6,17,NA,39176554,39176649,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
Am17A,6,17,Pachon x Surface F2,41023404,41023155,NA,NA,NA,NA,Protas_et_al.2008
Am17A,6,17,Pachon x Surface F2,41023404,41023155,NA,NA,NA,NA,Protas_et_al.2007
Am17A,6,17,Pachon x Texas Surface F2 and F3,41023404,41023155,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am17A,6,17,Pachon x Texas Surface F2 and F3,41023404,41023155,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am17A,6,17,Pachon x Texas Surface F2 and F3,41023404,41023155,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am17A,6,17,Pachon x Texas Surface F2 and F3,41023404,41023155,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
Am17A,6,17,NA,41023404,41023155,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
Am17A,6,17,NA,41023404,41023155,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
Am208E,6,17,Pachon x Surface F2,46516926,46517488,NA,NA,NA,NA,Protas_et_al.2007
Am208E,6,17,Pachon x Texas Surface F2 and F3,46516926,46517488,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am208E,6,17,Pachon x Texas Surface F2 and F3,46516926,46517488,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am208E,6,17,Pachon x Texas Surface F2 and F3,46516926,46517488,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am208E,6,17,NA,46516926,46517488,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
Am205D,10,17,Pachon x Surface F2,47425713,47425297,NA,NA,NA,NA,Protas_et_al.2007
Am205D,10,17,Pachon x Texas Surface F2 and F3,47425713,47425297,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am205D,10,17,Pachon x Texas Surface F2 and F3,47425713,47425297,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am205D,10,17,Pachon x Texas Surface F2 and F3,47425713,47425297,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am205D,10,17,NA,47425713,47425297,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
Am142C,6,17,Pachon x Surface F2,51044570,51044106,NA,NA,NA,NA,Protas_et_al.2007
Am142C,6,17,Pachon x Texas Surface F2 and F3,51044570,51044106,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am142C,6,17,NA,51044570,51044106,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_101042,7,3,NA,686358,686263,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_18104,7,3,NA,1981359,1981454,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_86740,7,3,NA,3535002,3535097,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_98146,7,3,NA,4125876,4125971,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_98087,7,3,NA,4849141,4849046,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
Am210D,7,3,Pachon x Surface F2,6379807,6379521,NA,NA,NA,NA,Protas_et_al.2007
RAD_47054,7,3,Pachon x Texas Surface F2 and F3,7027979,7028074,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
Am224C,7,3,Pachon x Surface F2,14064085,14063561,NA,NA,NA,NA,Protas_et_al.2007
Am224C,7,3,Pachon x Texas Surface F2 and F3,14064085,14063561,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_97807,7,3,Pachon x Surface F2,16181778,16181873,NA,NA,NA,NA,Protas_et_al.2008
RAD_97807,7,3,Pachon x Surface F2,16181778,16181873,NA,NA,NA,NA,Protas_et_al.2007
RAD_44155,7,3,Pachon x Surface F2,21531286,21531381,NA,NA,NA,NA,Protas_et_al.2007
Am202B,7,3,Pachon x Surface F2,23940037,23940537,NA,NA,NA,NA,Protas_et_al.2007
Am36D,7,3,Pachon x Surface F2,29690036,29689581,NA,NA,NA,NA,Protas_et_al.2008
Am36D,7,3,Pachon x Surface F2,29690036,29689581,NA,NA,NA,NA,Protas_et_al.2008
Am36D,7,3,Pachon x Surface F2,29690036,29689581,NA,NA,NA,NA,Protas_et_al.2008
Am36D,7,3,Pachon x Surface F2,29690036,29689581,NA,NA,NA,NA,Protas_et_al.2008
Am36D,7,3,Pachon x Surface F2,29690036,29689581,NA,NA,NA,NA,Protas_et_al.2007
Am36D,7,3,Pachon x Surface F2,29690036,29689581,NA,NA,NA,NA,Protas_et_al.2007
RAD_68023,7,3,Pachon x Surface F2,30861658,30861753,NA,NA,NA,NA,Protas_et_al.2008
RAD_68023,7,3,Pachon x Surface F2,30861658,30861753,NA,NA,NA,NA,Protas_et_al.2007
Am111B,7,3,NA,39207886,39207544,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_33183,7,3,NA,39851065,39851160,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
Am219E,7,3,NA,40261030,40260594,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
Am226B,7,3,NA,40677001,40676763,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_3816,8,3,Pachon x Surface F2,9809954,9809859,NA,NA,NA,NA,Protas_et_al.2007
NYU31,8,3,Pachon x Surface F2,16380440,16380010,NA,NA,NA,NA,Protas_et_al.2007
RAD_67695,8,3,Pachon x Surface F2,16955611,16955706,NA,NA,NA,NA,Protas_et_al.2007
Am112A,8,3,Pachon x Surface F2,17438918,17439752,NA,NA,NA,NA,Protas_et_al.2007
Am112A,8,3,Pachon x Surface F2,17438918,17439752,NA,NA,NA,NA,Protas_et_al.2007
RAD_89017,8,3,Pachon x Surface F2,20436544,20436449,NA,NA,NA,NA,Protas_et_al.2008
RAD_89017,8,3,Pachon x Surface F2,20436544,20436449,NA,NA,NA,NA,Protas_et_al.2007
RAD_89017,8,3,Pachon x Surface F2,20436544,20436449,NA,NA,NA,NA,Protas_et_al.2007
RAD_80900,8,3,Pachon x Surface F2,20515417,20515322,NA,NA,NA,NA,Protas_et_al.2008
RAD_80900,8,3,Pachon x Surface F2,20515417,20515322,NA,NA,NA,NA,Protas_et_al.2007
RAD_80900,8,3,Pachon x Surface F2,20515417,20515322,NA,NA,NA,NA,Protas_et_al.2007
Am221B,8,3,Pachon x Surface F2,20543041,20542522,NA,NA,NA,NA,Protas_et_al.2008
Am221B,8,3,Pachon x Surface F2,20543041,20542522,NA,NA,NA,NA,Protas_et_al.2007
Am221B,8,3,Pachon x Surface F2,20543041,20542522,NA,NA,NA,NA,Protas_et_al.2007
RAD_8919,8,3,Pachon x Surface F2,23906921,23907016,NA,NA,NA,NA,Protas_et_al.2008
RAD_8919,8,3,Pachon x Surface F2,23906921,23907016,NA,NA,NA,NA,Protas_et_al.2007
RAD_8919,8,3,Pachon x Surface F2,23906921,23907016,NA,NA,NA,NA,Protas_et_al.2007
RAD_46535,8,3,Pachon x Surface F2,24366871,24366966,NA,NA,NA,NA,Protas_et_al.2008
RAD_46535,8,3,Pachon x Surface F2,24366871,24366966,NA,NA,NA,NA,Protas_et_al.2007
RAD_46535,8,3,Pachon x Surface F2,24366871,24366966,NA,NA,NA,NA,Protas_et_al.2007
RAD_62524,8,3,Pachon x Surface F2,25415206,25415155,NA,NA,NA,NA,Protas_et_al.2008
RAD_62524,8,3,Pachon x Surface F2,25415206,25415155,NA,NA,NA,NA,Protas_et_al.2007
RAD_62524,8,3,Pachon x Surface F2,25415206,25415155,NA,NA,NA,NA,Protas_et_al.2007
RAD_11089,8,3,Pachon x Surface F2,27082476,27082381,NA,NA,NA,NA,Protas_et_al.2008
RAD_11089,8,3,Pachon x Surface F2,27082476,27082381,NA,NA,NA,NA,Protas_et_al.2007
RAD_11089,8,3,Pachon x Surface F2,27082476,27082381,NA,NA,NA,NA,Protas_et_al.2007
Am209E,9,20,Pachon x Surface F2,17547838,17547380,NA,NA,NA,NA,Protas_et_al.2008
Am209E,9,20,Pachon x Surface F2,17547838,17547380,NA,NA,NA,NA,Protas_et_al.2007
Am209E,9,20,NA,17547838,17547380,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
Am240B,9,20,Pachon x Surface F2,22545708,22545254,NA,NA,NA,NA,Protas_et_al.2007
Am240B,9,20,NA,22545708,22545254,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
Am206A,9,20,Pachon x Surface F2,29755874,29756540,NA,NA,NA,NA,Protas_et_al.2007
Am206A,9,20,NA,29755874,29756540,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_4708,9,16,Pachon x Surface F2,30770769,30770864,NA,NA,NA,NA,Protas_et_al.2008
RAD_4708,9,16,Pachon x Surface F2,30770769,30770864,NA,NA,NA,NA,Protas_et_al.2007
RAD_4708,9,16,Pachon x Surface F2,30770769,30770864,NA,NA,NA,NA,Protas_et_al.2007
RAD_4708,9,16,Pachon x Surface F2,30770769,30770864,NA,NA,NA,NA,Protas_et_al.2007
RAD_4708,9,16,Pachon x Texas Surface F2 and F3,30770769,30770864,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_95549,10,1,Pachon x Surface F2,9014306,9014398,NA,NA,NA,NA,Protas_et_al.2008
RAD_95549,10,1,Pachon x Surface F2,9014306,9014398,NA,NA,NA,NA,Protas_et_al.2008
RAD_95549,10,1,Pachon x Surface F2,9014306,9014398,NA,NA,NA,NA,Protas_et_al.2007
RAD_31719,10,8,Pachon x Surface F2,21306476,21306571,NA,NA,NA,NA,Protas_et_al.2008
RAD_31719,10,8,Pachon x Surface F2,21306476,21306571,NA,NA,NA,NA,Protas_et_al.2008
RAD_31719,10,8,Pachon x Surface F2,21306476,21306571,NA,NA,NA,NA,Protas_et_al.2008
RAD_31719,10,8,Pachon x Surface F2,21306476,21306571,NA,NA,NA,NA,Protas_et_al.2008
RAD_13173,10,8,Pachon x Surface F2,30821570,30821665,NA,NA,NA,NA,Protas_et_al.2008
RAD_41073,10,8,Pachon x Surface F2,33281551,33281456,NA,NA,NA,NA,Protas_et_al.2008
RAD_5656,10,8,Pachon x Surface F2,33411140,33411045,NA,NA,NA,NA,Protas_et_al.2008
RAD_52214,10,8,Pachon x Surface F2,34924171,34924266,NA,NA,NA,NA,Protas_et_al.2008
RAD_63406,11,8,Pachon x Surface F2,1720205,1720110,NA,NA,NA,NA,Protas_et_al.2008
RAD_34985,11,8,Pachon x Surface F2,2591808,2591713,NA,NA,NA,NA,Protas_et_al.2008
RAD_36775,11,8,Pachon x Surface F2,3129137,3129230,NA,NA,NA,NA,Protas_et_al.2008
Am237E,11,8,Pachon x Surface F2,3257626,3257213,NA,NA,NA,NA,Protas_et_al.2008
NYU21,11,8,Pachon x Surface F2,5367381,5368081,NA,NA,NA,NA,Protas_et_al.2008
NYU21,11,8,Pachon x Surface F2,5367381,5368081,NA,NA,NA,NA,Protas_et_al.2008
NYU21,11,8,Pachon x Surface F2,5367381,5368081,NA,NA,NA,NA,Protas_et_al.2008
NYU21,11,8,Pachon x Surface F2,5367381,5368081,NA,NA,NA,NA,Protas_et_al.2008
RAD_67705,11,8,Pachon x Surface F2,5981492,5981583,NA,NA,NA,NA,Protas_et_al.2008
RAD_67705,11,8,Pachon x Surface F2,5981492,5981583,NA,NA,NA,NA,Protas_et_al.2008
RAD_67705,11,8,Pachon x Surface F2,5981492,5981583,NA,NA,NA,NA,Protas_et_al.2008
RAD_67705,11,8,Pachon x Surface F2,5981492,5981583,NA,NA,NA,NA,Protas_et_al.2008
RAD_21879,11,8,Pachon x Surface F2,6446373,6446278,NA,NA,NA,NA,Protas_et_al.2008
RAD_21879,11,8,Pachon x Surface F2,6446373,6446278,NA,NA,NA,NA,Protas_et_al.2008
RAD_21879,11,8,Pachon x Surface F2,6446373,6446278,NA,NA,NA,NA,Protas_et_al.2008
RAD_21879,11,8,Pachon x Surface F2,6446373,6446278,NA,NA,NA,NA,Protas_et_al.2008
Am214B,11,8,Pachon x Surface F2,7425870,7426145,NA,NA,NA,NA,Protas_et_al.2008
Am214B,11,8,Pachon x Surface F2,7425870,7426145,NA,NA,NA,NA,Protas_et_al.2008
Am214B,11,8,Pachon x Surface F2,7425870,7426145,NA,NA,NA,NA,Protas_et_al.2008
Am214B,11,8,Pachon x Surface F2,7425870,7426145,NA,NA,NA,NA,Protas_et_al.2008
Am214B,11,8,Pachon x Surface F2,7425870,7426145,NA,NA,NA,NA,Protas_et_al.2008
Am204F,11,8,Pachon x Surface F2,7665483,7665934,NA,NA,NA,NA,Protas_et_al.2008
Am236B,11,8,Pachon x Surface F2,7665483,7665934,NA,NA,NA,NA,Protas_et_al.2008
Am205B,11,3,Pachon x Surface F2,9229663,9230210,NA,NA,NA,NA,Protas_et_al.2007
RAD_68234,11,8,Pachon x Surface F2,9623823,9623918,NA,NA,NA,NA,Protas_et_al.2008
Am119B,12,21,Pachon x Surface F2,10745750,10745322,NA,NA,NA,NA,Protas_et_al.2008
Am119B,12,21,Pachon x Surface F2,10745750,10745322,NA,NA,NA,NA,Protas_et_al.2008
Am119B,12,21,Pachon x Surface F2,10745750,10745322,NA,NA,NA,NA,Protas_et_al.2008
Am119B,12,21,Pachon x Surface F2,10745750,10745322,NA,NA,NA,NA,Protas_et_al.2008
Am119B,12,21,Pachon x Surface F2,10745750,10745322,NA,NA,NA,NA,Protas_et_al.2008
Am119B,12,21,Pachon x Surface F2,10745750,10745322,NA,NA,NA,NA,Protas_et_al.2008
Am119B,12,21,Pachon x Surface F2,10745750,10745322,NA,NA,NA,NA,Protas_et_al.2008
Am119B,12,21,Pachon x Surface F2,10745750,10745322,NA,NA,NA,NA,Protas_et_al.2008
Am119B,12,21,Pachon x Surface F2,10745750,10745322,NA,NA,NA,NA,Protas_et_al.2008
Am229B,12,21,Pachon x Surface F2,17799219,17799819,NA,NA,NA,NA,Protas_et_al.2008
Am229B,12,21,Pachon x Surface F2,17799219,17799819,NA,NA,NA,NA,Protas_et_al.2008
Am229B,12,21,Pachon x Surface F2,17799219,17799819,NA,NA,NA,NA,Protas_et_al.2008
Am229B,12,21,Pachon x Surface F2,17799219,17799819,NA,NA,NA,NA,Protas_et_al.2008
Am229B,12,21,Pachon x Surface F2,17799219,17799819,NA,NA,NA,NA,Protas_et_al.2008
Am229B,12,21,Pachon x Surface F2,17799219,17799819,NA,NA,NA,NA,Protas_et_al.2008
Am229B,12,21,Pachon x Surface F2,17799219,17799819,NA,NA,NA,NA,Protas_et_al.2008
Am229B,12,21,Pachon x Surface F2,17799219,17799819,NA,NA,NA,NA,Protas_et_al.2008
Am229B,12,21,Pachon x Surface F2,17799219,17799819,NA,NA,NA,NA,Protas_et_al.2008
Am229B,12,21,Pachon x Surface F2,17799219,17799819,NA,NA,NA,NA,Protas_et_al.2007
Am229B,12,21,Pachon x Surface F2,17799219,17799819,NA,NA,NA,NA,Protas_et_al.2007
NYU3,12,21,Pachon x Surface F2,23950383,23949773,NA,NA,NA,NA,Protas_et_al.2008
NYU3,12,21,Pachon x Surface F2,23950383,23949773,NA,NA,NA,NA,Protas_et_al.2008
NYU3,12,21,Pachon x Surface F2,23950383,23949773,NA,NA,NA,NA,Protas_et_al.2008
NYU3,12,21,Pachon x Surface F2,23950383,23949773,NA,NA,NA,NA,Protas_et_al.2008
NYU3,12,21,Pachon x Surface F2,23950383,23949773,NA,NA,NA,NA,Protas_et_al.2008
NYU3,12,21,Pachon x Surface F2,23950383,23949773,NA,NA,NA,NA,Protas_et_al.2008
NYU3,12,21,Pachon x Surface F2,23950383,23949773,NA,NA,NA,NA,Protas_et_al.2008
NYU3,12,21,Pachon x Surface F2,23950383,23949773,NA,NA,NA,NA,Protas_et_al.2008
NYU3,12,21,Pachon x Surface F2,23950383,23949773,NA,NA,NA,NA,Protas_et_al.2008
RAD_75134,13,1,Pachon x Surface F2,4242174,4242266,NA,NA,NA,NA,Protas_et_al.2008
RAD_75134,13,1,Pachon x Surface F2,4242174,4242266,NA,NA,NA,NA,Protas_et_al.2008
RAD_75134,13,1,Pachon x Surface F2,4242174,4242266,NA,NA,NA,NA,Protas_et_al.2007
RAD_66364,13,1,Pachon x Surface F2,4729285,4729190,NA,NA,NA,NA,Protas_et_al.2008
RAD_66364,13,1,Pachon x Surface F2,4729285,4729190,NA,NA,NA,NA,Protas_et_al.2008
RAD_66364,13,1,Pachon x Surface F2,4729285,4729190,NA,NA,NA,NA,Protas_et_al.2007
Am213F,13,1,Pachon x Surface F2,4742282,4741854,NA,NA,NA,NA,Protas_et_al.2008
Am213F,13,1,Pachon x Surface F2,4742282,4741854,NA,NA,NA,NA,Protas_et_al.2008
Am213F,13,1,Pachon x Surface F2,4742282,4741854,NA,NA,NA,NA,Protas_et_al.2007
RAD_43090,13,1,Pachon x Surface F2,4750534,4750439,NA,NA,NA,NA,Protas_et_al.2008
RAD_43090,13,1,Pachon x Surface F2,4750534,4750439,NA,NA,NA,NA,Protas_et_al.2008
RAD_43090,13,1,Pachon x Surface F2,4750534,4750439,NA,NA,NA,NA,Protas_et_al.2007
RAD_12122,13,1,Pachon x Surface F2,4796138,4796043,NA,NA,NA,NA,Protas_et_al.2008
RAD_12122,13,1,Pachon x Surface F2,4796138,4796043,NA,NA,NA,NA,Protas_et_al.2008
RAD_12122,13,1,Pachon x Surface F2,4796138,4796043,NA,NA,NA,NA,Protas_et_al.2007
RAD_48253,13,1,Pachon x Surface F2,14092037,14092132,NA,NA,NA,NA,Protas_et_al.2007
Am213E,13,1,Pachon x Surface F2,14362158,14361698,NA,NA,NA,NA,Protas_et_al.2007
RAD_20037,13,1,Pachon x Surface F2,15027028,15027128,NA,NA,NA,NA,Protas_et_al.2008
RAD_20037,13,1,Pachon x Surface F2,15027028,15027128,NA,NA,NA,NA,Protas_et_al.2008
RAD_20037,13,1,Pachon x Surface F2,15027028,15027128,NA,NA,NA,NA,Protas_et_al.2007
Am237A,13,1,Pachon x Surface F2,15057983,15057582,NA,NA,NA,NA,Protas_et_al.2008
Am237A,13,1,Pachon x Surface F2,15057983,15057582,NA,NA,NA,NA,Protas_et_al.2008
Am237A,13,1,Pachon x Surface F2,15057983,15057582,NA,NA,NA,NA,Protas_et_al.2007
RAD_52152,13,1,Pachon x Surface F2,15092542,15092637,NA,NA,NA,NA,Protas_et_al.2008
RAD_52152,13,1,Pachon x Surface F2,15092542,15092637,NA,NA,NA,NA,Protas_et_al.2008
RAD_52152,13,1,Pachon x Surface F2,15092542,15092637,NA,NA,NA,NA,Protas_et_al.2007
RAD_60780,13,1,Pachon x Surface F2,15318475,15318570,NA,NA,NA,NA,Protas_et_al.2008
RAD_60780,13,1,Pachon x Surface F2,15318475,15318570,NA,NA,NA,NA,Protas_et_al.2008
RAD_60780,13,1,Pachon x Surface F2,15318475,15318570,NA,NA,NA,NA,Protas_et_al.2007
RAD_88030,13,1,Pachon x Surface F2,15399391,15399296,NA,NA,NA,NA,Protas_et_al.2008
RAD_88030,13,1,Pachon x Surface F2,15399391,15399296,NA,NA,NA,NA,Protas_et_al.2008
RAD_88030,13,1,Pachon x Surface F2,15399391,15399296,NA,NA,NA,NA,Protas_et_al.2007
RAD_91463,13,1,Pachon x Surface F2,16082544,16082639,NA,NA,NA,NA,Protas_et_al.2008
RAD_91463,13,1,Pachon x Surface F2,16082544,16082639,NA,NA,NA,NA,Protas_et_al.2008
RAD_91463,13,1,Pachon x Surface F2,16082544,16082639,NA,NA,NA,NA,Protas_et_al.2007
Am26A,13,1,Pachon x Surface F2,18327120,18327626,NA,NA,NA,NA,Protas_et_al.2008
Am26A,13,1,Pachon x Surface F2,18327120,18327626,NA,NA,NA,NA,Protas_et_al.2008
Am26A,13,1,Pachon x Surface F2,18327120,18327626,NA,NA,NA,NA,Protas_et_al.2008
Am26A,13,1,Pachon x Surface F2,18327120,18327626,NA,NA,NA,NA,Protas_et_al.2007
RAD_15266,13,1,Pachon x Surface F2,19424303,19424398,NA,NA,NA,NA,Protas_et_al.2008
RAD_15266,13,1,Pachon x Surface F2,19424303,19424398,NA,NA,NA,NA,Protas_et_al.2007
RAD_15266,13,1,Pachon x Surface F2,19424303,19424398,NA,NA,NA,NA,Protas_et_al.2007
RAD_11443,13,1,Pachon x Surface F2,19667168,19667073,NA,NA,NA,NA,Protas_et_al.2008
RAD_11443,13,1,Pachon x Surface F2,19667168,19667073,NA,NA,NA,NA,Protas_et_al.2007
RAD_11443,13,1,Pachon x Surface F2,19667168,19667073,NA,NA,NA,NA,Protas_et_al.2007
Am30C,13,1,Pachon x Surface F2,21280440,21281104,NA,NA,NA,NA,Protas_et_al.2008
Am30C,13,1,Pachon x Surface F2,21280440,21281104,NA,NA,NA,NA,Protas_et_al.2007
Am30C,13,1,Pachon x Surface F2,21280440,21281104,NA,NA,NA,NA,Protas_et_al.2007
RAD_38026,13,1,Pachon x Surface F2,21477488,21477583,NA,NA,NA,NA,Protas_et_al.2008
RAD_38026,13,1,Pachon x Surface F2,21477488,21477583,NA,NA,NA,NA,Protas_et_al.2007
RAD_38026,13,1,Pachon x Surface F2,21477488,21477583,NA,NA,NA,NA,Protas_et_al.2007
RAD_82059,13,1,Pachon x Surface F2,25214645,25214550,NA,NA,NA,NA,Protas_et_al.2008
RAD_82059,13,1,Pachon x Surface F2,25214645,25214550,NA,NA,NA,NA,Protas_et_al.2007
RAD_82059,13,1,Pachon x Surface F2,25214645,25214550,NA,NA,NA,NA,Protas_et_al.2007
Am205E,13,1,Pachon x Surface F2,26381271,26380821,NA,NA,NA,NA,Protas_et_al.2008
RAD_78967,13,1,Pachon x Surface F2,27347568,27347665,NA,NA,NA,NA,Protas_et_al.2008
Am210A,13,1,Pachon x Surface F2,27627848,27627418,NA,NA,NA,NA,Protas_et_al.2008
RAD_44245,13,1,Pachon x Surface F2,36373504,36373599,NA,NA,NA,NA,Protas_et_al.2008
oca2,13,1,Pachon x Surface F2,37905090,37904858,NA,NA,NA,NA,Protas_et_al.2008
Am201D,13,1,Pachon x Surface F2,41006054,41006596,NA,NA,NA,NA,Protas_et_al.2008
Am201D,13,1,Pachon x Surface F2,41006054,41006596,NA,NA,NA,NA,Protas_et_al.2007
Am201D,13,1,Pachon x Surface F2,41006054,41006596,NA,NA,NA,NA,Protas_et_al.2007
Am132B,13,1,Pachon x Surface F2,41583679,41584334,NA,NA,NA,NA,Protas_et_al.2008
Am132B,13,1,Pachon x Surface F2,41583679,41584334,NA,NA,NA,NA,Protas_et_al.2007
Am132B,13,1,Pachon x Surface F2,41583679,41584334,NA,NA,NA,NA,Protas_et_al.2007
Am218E,13,1,Pachon x Surface F2,43163154,43163743,NA,NA,NA,NA,Protas_et_al.2008
Am218E,13,1,Pachon x Surface F2,43163154,43163743,NA,NA,NA,NA,Protas_et_al.2007
Am218E,13,1,Pachon x Surface F2,43163154,43163743,NA,NA,NA,NA,Protas_et_al.2007
Am43C,13,1,Pachon x Surface F2,43553247,43552555,NA,NA,NA,NA,Protas_et_al.2008
Am43C,13,1,Pachon x Surface F2,43553247,43552555,NA,NA,NA,NA,Protas_et_al.2007
Am43C,13,1,Pachon x Surface F2,43553247,43552555,NA,NA,NA,NA,Protas_et_al.2007
Am43A,14,7,Pachon x Surface F2,3249494,3249044,NA,NA,NA,NA,Protas_et_al.2008
Am43A,14,7,Pachon x Surface F2,3249494,3249044,NA,NA,NA,NA,Protas_et_al.2008
Am43A,14,7,Pachon x Surface F2,3249494,3249044,NA,NA,NA,NA,Protas_et_al.2007
RAD_25005,14,7,Pachon x Surface F2,3820404,3820499,NA,NA,NA,NA,Protas_et_al.2008
RAD_25005,14,7,Pachon x Surface F2,3820404,3820499,NA,NA,NA,NA,Protas_et_al.2008
RAD_25005,14,7,Pachon x Surface F2,3820404,3820499,NA,NA,NA,NA,Protas_et_al.2007
RAD_43143,14,7,Pachon x Surface F2,4202597,4202502,NA,NA,NA,NA,Protas_et_al.2008
RAD_43143,14,7,Pachon x Surface F2,4202597,4202502,NA,NA,NA,NA,Protas_et_al.2008
RAD_98090,14,7,Pachon x Surface F2,5328916,5328821,NA,NA,NA,NA,Protas_et_al.2008
RAD_98090,14,7,Pachon x Surface F2,5328916,5328821,NA,NA,NA,NA,Protas_et_al.2008
RAD_45734,14,7,Pachon x Surface F2,5826440,5826345,NA,NA,NA,NA,Protas_et_al.2008
RAD_45734,14,7,Pachon x Surface F2,5826440,5826345,NA,NA,NA,NA,Protas_et_al.2008
RAD_73745,14,7,Pachon x Surface F2,8967173,8967268,NA,NA,NA,NA,Protas_et_al.2008
RAD_73745,14,7,Pachon x Surface F2,8967173,8967268,NA,NA,NA,NA,Protas_et_al.2008
RAD_16332,14,7,Pachon x Surface F2,9330213,9330118,NA,NA,NA,NA,Protas_et_al.2008
RAD_16332,14,7,Pachon x Surface F2,9330213,9330118,NA,NA,NA,NA,Protas_et_al.2008
RAD_24659,14,7,Pachon x Surface F2,9988871,9988776,NA,NA,NA,NA,Protas_et_al.2008
RAD_24659,14,7,Pachon x Surface F2,9988871,9988776,NA,NA,NA,NA,Protas_et_al.2008
RAD_29437,14,7,Pachon x Surface F2,10415386,10415481,NA,NA,NA,NA,Protas_et_al.2008
RAD_29437,14,7,Pachon x Surface F2,10415386,10415481,NA,NA,NA,NA,Protas_et_al.2008
Am131A,14,7,Pachon x Surface F2,12185116,12184273,NA,NA,NA,NA,Protas_et_al.2008
Am131A,14,7,Pachon x Surface F2,12185116,12184273,NA,NA,NA,NA,Protas_et_al.2008
