"","Gene_stable_ID","Comparison","logFC","PValue","Gene_name","Gene_description","Ensembl_Family_Description","Condition","Publication","Age_at_Sampling","Tissue"
"654","ENSAMXG00000020027","Tinaja-Control",-7.825204736,1.16e-05,"shbg","sex hormone-binding globulin [Source:ZFIN;Acc:ZDB-GENE-030131-1324]","","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"655","ENSAMXG00000012826","Tinaja-Control",-7.54614738,6.75e-07,"si:ch211-254c8.3","si:ch211-254c8.3 [Source:ZFIN;Acc:ZDB-GENE-100922-130]","GTPASE IMAP FAMILY MEMBER","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"656","ENSAMXG00000014519","Tinaja-Control",-7.440363754,1.57e-17,"","","BIGLYCAN PRECURSOR BONE/CARTILAGE PROTEOGLYCAN I PG S1","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"657","ENSAMXG00000003861","Tinaja-Control",-6.821877633,3.2e-07,"","","","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"658","ENSAMXG00000000523","Tinaja-Control",-5.687090489,1.36e-05,"","tripartite motif-containing protein 60-like [Source:NCBI gene;Acc:103040387]","E3 UBIQUITIN LIGASE TRIM41 EC_2.3.2.27 RING TYPE E3 UBIQUITIN TRANSFERASE TRIM41 TRIPARTITE MOTIF CONTAINING 41","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"659","ENSAMXG00000009715","Tinaja-Control",-5.386834049,0.00042302,"gck","glucokinase [Source:NCBI gene;Acc:103039737]","KINASE","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"660","ENSAMXG00000027624","Tinaja-Control",-5.382796712,2.7e-08,"","","","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"661","ENSAMXG00000001724","Tinaja-Control",-4.776043075,0.000394884,"zgc:162331","uncharacterized LOC103022817 [Source:NCBI gene;Acc:103022817]","UNCHARACTERIZED","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"662","ENSAMXG00000005871","Tinaja-Control",-4.70158254,0.000962132,"guf1","GUF1 homolog, GTPase [Source:ZFIN;Acc:ZDB-GENE-030131-4289]","TRANSLATION FACTOR GUF1 MITOCHONDRIAL EC_3.6.5.- ELONGATION FACTOR 4 HOMOLOG EF 4 GTPASE GUF1 RIBOSOMAL BACK TRANSLOCASE","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"663","ENSAMXG00000002758","Tinaja-Control",-4.482612048,0.000379493,"","","PRECURSOR","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"664","ENSAMXG00000025927","Tinaja-Control",-4.478074539,1.82e-09,"zgc:113691","uncharacterized LOC103041746 [Source:NCBI gene;Acc:103041746]","UNCHARACTERIZED","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"665","ENSAMXG00000019279","Tinaja-Control",-4.132036969,1.06e-06,"","uncharacterized LOC103026991 [Source:NCBI gene;Acc:103026991]","MESOTHELIN PRECURSOR PRE PRO MEGAKARYOCYTE POTENTIATING FACTOR","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"666","ENSAMXG00000009521","Tinaja-Control",-3.881416416,1.1e-09,"TMEM255B","transmembrane protein 255B [Source:HGNC Symbol;Acc:HGNC:28297]","TRANSMEMBRANE 255B","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"667","ENSAMXG00000017530","Tinaja-Control",-3.846890402,0.000744181,"","","GAMMA CRYSTALLIN GAMMA CRY GAMMA CRYSTALLIN","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"668","ENSAMXG00000010883","Tinaja-Control",-3.775546734,4.62e-09,"","","FERRITIN HEAVY CHAIN FERRITIN H SUBUNIT FERRITIN HEAVY CHAIN","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"669","ENSAMXG00000010874","Tinaja-Control",-2.830734302,4.05e-13,"","","FERRITIN HEAVY CHAIN FERRITIN H SUBUNIT FERRITIN HEAVY CHAIN","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"670","ENSAMXG00000017115","Tinaja-Control",-2.828800859,3.2e-07,"slc39a8","zinc transporter ZIP8 [Source:NCBI gene;Acc:103035991]","ZINC TRANSPORTER ZIP8 SOLUTE CARRIER FAMILY 39 MEMBER 8 ZRT AND IRT  8 ZIP 8","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"671","ENSAMXG00000016010","Tinaja-Control",-2.605659788,9.93e-08,"SSC4D","scavenger receptor cysteine rich family member with 4 domains [Source:HGNC Symbol;Acc:HGNC:14461]","DELETED IN MALIGNANT BRAIN TUMORS 1 PRECURSOR HENSIN","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"672","ENSAMXG00000000068","Tinaja-Control",-2.362087879,0.000241915,"samsn1a","SAM domain, SH3 domain and nuclear localisation signals 1a [Source:ZFIN;Acc:ZDB-GENE-030131-8639]","SAM DOMAIN CONTAINING SAMSN 1 SAM DOMAIN SH3 DOMAIN AND NUCLEAR LOCALIZATION SIGNALS 1 SH3","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"673","ENSAMXG00000018474","Tinaja-Control",-2.335790065,6.94e-05,"slc34a1a","solute carrier family 34 (type II sodium/phosphate cotransporter), member 1a [Source:ZFIN;Acc:ZDB-GENE-101006-3]","SODIUM DEPENDENT PHOSPHATE TRANSPORT SODIUM PHOSPHATE TRANSPORT NA + DEPENDENT PHOSPHATE COTRANSPORTER SODIUM/PHOSPHATE COTRANSPORTER NA + /PI COTRANSPORTER NAPI SOLUTE CARRIER FAMILY 34 MEMBER","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"674","ENSAMXG00000006427","Tinaja-Control",-2.322070846,0.00094664,"","","INTERSTITIAL COLLAGENASE PRECURSOR EC_3.4.24.7 MATRIX METALLOPROTEINASE 1 MMP 1","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"675","ENSAMXG00000017599","Tinaja-Control",-2.259527483,4.36e-09,"ehf","ETS homologous factor [Source:NCBI gene;Acc:103047483]","ETS HOMOLOGOUS FACTOR ETS DOMAIN CONTAINING TRANSCRIPTION FACTOR","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"676","ENSAMXG00000001271","Tinaja-Control",-2.253542564,1.46e-05,"","","SUBUNIT SUBUNIT","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"677","ENSAMXG00000007576","Tinaja-Control",-2.251880813,1.78e-11,"fgf10b","fibroblast growth factor 10-like [Source:NCBI gene;Acc:103046526]","FIBROBLAST GROWTH FACTOR 10 PRECURSOR FGF 10 KERATINOCYTE GROWTH FACTOR 2","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"678","ENSAMXG00000017009","Tinaja-Control",-2.052250385,0.000378199,"ush1c","USH1 protein network component harmonin [Source:NCBI gene;Acc:103038670]","TYPE","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"679","ENSAMXG00000008882","Tinaja-Control",-2.027721325,3.81e-05,"tmem199","transmembrane protein 199 [Source:NCBI gene;Acc:103036653]","TRANSMEMBRANE 199","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"680","ENSAMXG00000020624","Tinaja-Control",-1.925413899,1.56e-08,"cd164l2","CD164 sialomucin-like 2 [Source:ZFIN;Acc:ZDB-GENE-120215-174]","","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"681","ENSAMXG00000003710","Tinaja-Control",-1.921306542,0.000431108,"miip","migration and invasion inhibitory protein [Source:ZFIN;Acc:ZDB-GENE-130620-1]","MIGRATION AND INVASION INHIBITORY INVASION INHIBITORY 45 IIP45","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"682","ENSAMXG00000006127","Tinaja-Control",-1.826370358,1.52e-06,"elovl2","ELOVL fatty acid elongase 2 [Source:NCBI gene;Acc:103027447]","ELONGATION OF VERY LONG CHAIN FATTY ACIDS EC_2.3.1.199 3 KETO ACYL COA SYNTHASE ELOVL FATTY ACID ELONGASE ELOVL FA ELONGASE VERY LONG CHAIN 3 KETOACYL COA SYNTHASE VERY LONG CHAIN 3 OXOACYL COA SYNTHASE","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"683","ENSAMXG00000017964","Tinaja-Control",-1.766769326,0.00067549,"","","","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"684","ENSAMXG00000016718","Tinaja-Control",-1.680532571,4.65e-05,"htatip2","HIV-1 Tat interactive protein 2 [Source:ZFIN;Acc:ZDB-GENE-001219-1]","FMP52 MITOCHONDRIAL PRECURSOR","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"685","ENSAMXG00000020719","Tinaja-Control",-1.676286085,3.33e-10,"pvalb8","parvalbumin, thymic CPV3-like [Source:NCBI gene;Acc:103030409]","PARVALBUMIN THYMIC CPV3 PARVALBUMIN 3","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"686","ENSAMXG00000016312","Tinaja-Control",-1.661174596,1.85e-09,"s100t","protein S100-A1-like [Source:NCBI gene;Acc:103045680]","S100 S100 CALCIUM BINDING","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"687","ENSAMXG00000001736","Tinaja-Control",-1.54661944,4.56e-10,"zc3h12a","endoribonuclease ZC3H12A [Source:NCBI gene;Acc:103030977]","ENDORIBONUCLEASE Z A EC_3.1.-.- MONOCYTE CHEMOTACTIC INDUCED 1 MCP INDUCED 1 MCPIP 1 REGNASE 1 REG1 ZINC FINGER CCCH DOMAIN CONTAINING 12A","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"688","ENSAMXG00000005742","Tinaja-Control",-1.525453116,5.56e-05,"trmt112","tRNA methyltransferase subunit 11-2 [Source:NCBI gene;Acc:103043097]","MULTIFUNCTIONAL METHYLTRANSFERASE SUBUNIT TRM112 ERF1 METHYLTRANSFERASE SUBUNIT TRM112 ERF1 MTASE SUBUNIT TRM112 TRNA METHYLTRANSFERASE 112","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"689","ENSAMXG00000005794","Tinaja-Control",-1.524626202,0.000885513,"rce1a","Ras converting CAAX endopeptidase 1a [Source:ZFIN;Acc:ZDB-GENE-041008-116]","CAAX PRENYL PROTEASE 2 EC_3.4.22.- FARNESYLATED PROTEINS CONVERTING ENZYME 2 FACE 2 PRENYL SPECIFIC ENDOPROTEASE 2 RCE1 HOMOLOG","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"690","ENSAMXG00000027397","Tinaja-Control",-1.513739564,0.000622094,"","","","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"691","ENSAMXG00000019154","Tinaja-Control",-1.511188701,6.77e-11,"","inner ear-specific collagen-like [Source:NCBI gene;Acc:103025038]","OTOLIN 1 PRECURSOR","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"692","ENSAMXG00000003994","Tinaja-Control",-1.505580973,0.000255884,"cxcl8a","chemokine (C-X-C motif) ligand 8a [Source:ZFIN;Acc:ZDB-GENE-081104-317]","","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"693","ENSAMXG00000005236","Tinaja-Control",-1.444316254,0.000161021,"si:dkey-183n20.15","E3 ubiquitin-protein ligase RNF170-like [Source:NCBI gene;Acc:103034427]","E3 UBIQUITIN LIGASE RNF170 EC_2.3.2.27 RING FINGER 170 RING TYPE E3 UBIQUITIN TRANSFERASE RNF170","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"694","ENSAMXG00000027464","Tinaja-Control",-1.443950221,1.77e-06,"","","","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"695","ENSAMXG00000008341","Tinaja-Control",-1.43756735,0.000273866,"aqp8a.2","aquaporin 8a, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-070112-1802]","AQUAPORIN 8","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"696","ENSAMXG00000000862","Tinaja-Control",-1.435900894,3.53e-07,"si:ch73-340m8.2","si:ch73-340m8.2 [Source:ZFIN;Acc:ZDB-GENE-110411-209]","TYROSINE KINASE EC_2.7.10.2","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"697","ENSAMXG00000026135","Tinaja-Control",-1.422799151,0.000194655,"si:ch211-152c8.5","protein phosphatase 1 regulatory subunit 3G [Source:HGNC Symbol;Acc:HGNC:14945]","PHOSPHATASE 1 REGULATORY SUBUNIT 3G","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"698","ENSAMXG00000021484","Tinaja-Control",-1.41140273,2.34e-07,"nox1","NADPH oxidase 1 [Source:NCBI gene;Acc:103042583]","CYTOCHROME B 245 HEAVY CHAIN","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"699","ENSAMXG00000002001","Tinaja-Control",-1.386282416,0.001009299,"gins1","GINS complex subunit 1 [Source:NCBI gene;Acc:103026385]","DNA REPLICATION COMPLEX GINS PSF1","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"700","ENSAMXG00000005214","Tinaja-Control",-1.32989008,0.00076384,"zgc:64002","nicotinamide N-methyltransferase-like [Source:NCBI gene;Acc:103032094]","N METHYLTRANSFERASE","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"701","ENSAMXG00000010816","Tinaja-Control",-1.306414829,0.000585207,"","","EPENDYMIN","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"702","ENSAMXG00000024361","Tinaja-Control",-1.282775048,0.00073885,"tmigd1","transmembrane and immunoglobulin domain-containing protein 1-like [Source:NCBI gene;Acc:103038736]","TRANSMEMBRANE AND IMMUNOGLOBULIN DOMAIN CONTAINING 1 PRECURSOR","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"703","ENSAMXG00000003550","Tinaja-Control",-1.281646858,1.74e-05,"vip","VIP peptides [Source:NCBI gene;Acc:103021727]","GROWTH HORMONE RELEASING FACTOR GRF GROWTH HORMONE RELEASING HORMONE GHRH","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"704","ENSAMXG00000007064","Tinaja-Control",-1.280051089,6.51e-06,"","","UNCHARACTERIZED","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"705","ENSAMXG00000025803","Tinaja-Control",-1.26262189,1.88e-08,"jac3","aerolysin-like protein [Source:NCBI gene;Acc:103034153]","AEROLYSIN  JACALIN TYPE LECTIN DOMAIN CONTAINING 5","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"706","ENSAMXG00000025963","Tinaja-Control",-1.232833341,0.000529092,"","","UNCHARACTERIZED","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"707","ENSAMXG00000014462","Tinaja-Control",-1.217079414,0.000147204,"mfsd10","major facilitator superfamily domain containing 10 [Source:NCBI gene;Acc:103031219]","MAJOR FACILITATOR SUPERFAMILY DOMAIN CONTAINING 10 TETRACYCLINE TRANSPORTER","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"708","ENSAMXG00000015974","Tinaja-Control",-1.206518331,8.67e-05,"fads2","fatty acid desaturase 2 [Source:NCBI gene;Acc:103027972]","FATTY ACID DESATURASE DELTA FATTY ACID DESATURASE","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"709","ENSAMXG00000015814","Tinaja-Control",-1.202450542,2.47e-05,"wu:fe02h09","peroxisomal membrane protein 4 [Source:NCBI gene;Acc:103043538]","PEROXISOMAL MEMBRANE 4.24 KDA PEROXISOMAL INTRINSIC MEMBRANE","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"710","ENSAMXG00000003468","Tinaja-Control",-1.192970114,3.63e-06,"","sterol 26-hydroxylase, mitochondrial-like [Source:NCBI gene;Acc:103036363]","25 D HYDROXYLASE MITOCHONDRIAL PRECURSOR D 3 HYDROXYLASE CYTOCHROME P450 CYTOCHROME P450","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"711","ENSAMXG00000008850","Tinaja-Control",-1.188615464,2.27e-07,"elf3","E74 like ETS transcription factor 3 [Source:NCBI gene;Acc:103047838]","ETS RELATED TRANSCRIPTION FACTOR ELF 3 E74  FACTOR 3 EPITHELIAL RESTRICTED WITH SERINE BOX EPITHELIUM RESTRICTED ETS ESX EPITHELIUM SPECIFIC ETS TRANSCRIPTION FACTOR 1 ESE 1","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"712","ENSAMXG00000020256","Tinaja-Control",-1.185386281,0.000608705,"slc17a8","vesicular glutamate transporter 3 [Source:NCBI gene;Acc:103047487]","VESICULAR GLUTAMATE TRANSPORTER 3 VGLUT3 SOLUTE CARRIER FAMILY 17 MEMBER 8","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"713","ENSAMXG00000017062","Tinaja-Control",-1.180432367,5.74e-12,"TMCC1 (1 of many)","transmembrane and coiled-coil domain family 1 [Source:NCBI gene;Acc:103027055]","TRANSMEMBRANE AND COILED COIL DOMAINS 1","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"714","ENSAMXG00000007775","Tinaja-Control",-1.137742154,0.000552364,"slc51a","organic solute transporter subunit alpha-like [Source:NCBI gene;Acc:103044530]","ORGANIC SOLUTE TRANSPORTER SUBUNIT ALPHA OST ALPHA SOLUTE CARRIER FAMILY 51 SUBUNIT ALPHA","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"715","ENSAMXG00000017336","Tinaja-Control",-1.127810307,2.69e-05,"slc5a1 (1 of many)","solute carrier family 5 (sodium/glucose cotransporter), member 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1524]","SODIUM/GLUCOSE COTRANSPORTER 1 NA + /GLUCOSE COTRANSPORTER 1 HIGH AFFINITY SODIUM GLUCOSE COTRANSPORTER SOLUTE CARRIER FAMILY 5 MEMBER 1","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"716","ENSAMXG00000007971","Tinaja-Control",-1.123910583,0.000996876,"hmgcra","3-hydroxy-3-methylglutaryl-coenzyme A reductase [Source:NCBI gene;Acc:103033046]","3 HYDROXY 3 METHYLGLUTARYL COENZYME A REDUCTASE HMG COA REDUCTASE EC_1.1.1.34","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"717","ENSAMXG00000005518","Tinaja-Control",-1.122962831,2e-05,"","gamma-glutamyl hydrolase-like [Source:NCBI gene;Acc:103026830]","GAMMA GLUTAMYL HYDROLASE PRECURSOR EC_3.4.19.9 CONJUGASE GH GAMMA GLU X CARBOXYPEPTIDASE","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"718","ENSAMXG00000015917","Tinaja-Control",-1.116066706,0.000121233,"sparta","spartin a [Source:ZFIN;Acc:ZDB-GENE-080204-37]","SPARTIN","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"719","ENSAMXG00000006641","Tinaja-Control",-1.099765781,0.000593327,"gna14","guanine nucleotide binding protein (G protein), alpha 14 [Source:ZFIN;Acc:ZDB-GENE-040808-7]","GUANINE NUCLEOTIDE BINDING G Q SUBUNIT ALPHA GUANINE NUCLEOTIDE BINDING ALPHA Q","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"720","ENSAMXG00000020864","Tinaja-Control",-1.082780599,0.000144264,"tex10","testis expressed 10 [Source:ZFIN;Acc:ZDB-GENE-040426-2827]","REGULATOR OF MICROTUBULE DYNAMICS RMD","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"721","ENSAMXG00000003742","Tinaja-Control",-1.06905106,2.91e-05,"chtf8","chromosome transmission fidelity factor 8 [Source:NCBI gene;Acc:103045850]","CHROMOSOME TRANSMISSION FIDELITY 8 HOMOLOG","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"722","ENSAMXG00000016649","Tinaja-Control",-1.068250258,0.000399726,"si:ch73-269m23.5","ceramide-1-phosphate transfer protein-like [Source:NCBI gene;Acc:103038707]","TRANSFER","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"723","ENSAMXG00000020563","Tinaja-Control",-1.066744968,0.000656758,"pcna","proliferating cell nuclear antigen [Source:NCBI gene;Acc:103027123]","PROLIFERATING CELL NUCLEAR ANTIGEN PCNA","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"724","ENSAMXG00000013672","Tinaja-Control",-1.049299288,7.38e-06,"rad51","RAD51 recombinase [Source:NCBI gene;Acc:103041530]","DNA REPAIR RAD51","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"725","ENSAMXG00000006174","Tinaja-Control",-1.03867913,0.000625426,"vil1","villin 1 [Source:NCBI gene;Acc:103028195]","VILLIN 1","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"726","ENSAMXG00000001519","Tinaja-Control",-1.035988834,0.000313274,"smpdl3b","sphingomyelin phosphodiesterase acid like 3B [Source:NCBI gene;Acc:103027922]","PHOSPHODIESTERASE PRECURSOR","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"727","ENSAMXG00000024970","Tinaja-Control",-1.003852156,7.06e-05,"plekhf1","pleckstrin homology and FYVE domain containing 1 [Source:NCBI gene;Acc:103028531]","PLECKSTRIN HOMOLOGY DOMAIN CONTAINING FAMILY F MEMBER 1 PH DOMAIN CONTAINING FAMILY F MEMBER 1 LYSOSOME ASSOCIATED APOPTOSIS INDUCING CONTAINING PH AND FYVE DOMAINS","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"728","ENSAMXG00000014458","Tinaja-Control",-1.003406329,0.000316192,"si:dkey-6i22.5","si:dkey-6i22.5 [Source:ZFIN;Acc:ZDB-GENE-050506-32]","","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"729","ENSAMXG00000013969","Tinaja-Control",-0.999077492,1.45e-06,"zgc:77486","zgc:77486 [Source:ZFIN;Acc:ZDB-GENE-040426-2056]","PERILIPIN","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"730","ENSAMXG00000002024","Tinaja-Control",-0.960920743,4.35e-05,"","interleukin-20 receptor subunit alpha-like [Source:NCBI gene;Acc:103025249]","INTERLEUKIN 20 RECEPTOR SUBUNIT ALPHA PRECURSOR IL 20 RECEPTOR SUBUNIT ALPHA IL 20R ALPHA IL 20RA IL 20R1","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"731","ENSAMXG00000012659","Tinaja-Control",-0.95413201,0.000314894,"","","POLY [ADP RIBOSE] POLYMERASE 9 PARP 9 EC_2.4.2.30 ADP RIBOSYLTRANSFERASE DIPHTHERIA TOXIN  9 ARTD9 B AGGRESSIVE LYMPHOMA","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"732","ENSAMXG00000010646","Tinaja-Control",-0.935786652,0.000748602,"pars2","prolyl-tRNA synthetase 2, mitochondrial [Source:NCBI gene;Acc:103046261]","PROBABLE PROLINE TRNA LIGASE MITOCHONDRIAL EC_6.1.1.15 PROLYL TRNA SYNTHETASE PRORS","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"733","ENSAMXG00000001245","Tinaja-Control",-0.918840075,1.09e-05,"","ubiquitin conjugating enzyme E2 L3 [Source:NCBI gene;Acc:103044625]","UBIQUITIN CONJUGATING ENZYME E2 L3 EC_2.3.2.23 E2 UBIQUITIN CONJUGATING ENZYME L3 UBIQUITIN CARRIER L3 UBIQUITIN LIGASE L3","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"734","ENSAMXG00000021081","Tinaja-Control",-0.915301574,0.000427205,"znf367","zinc finger protein 367 [Source:NCBI gene;Acc:103041987]","ZINC FINGER","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"735","ENSAMXG00000002149","Tinaja-Control",-0.912873874,0.000491636,"acat2","acetyl-CoA acetyltransferase 2 [Source:NCBI gene;Acc:103038320]","3 KETOACYL COA THIOLASE EC_2.3.1.16 ACETYL COA ACYLTRANSFERASE BETA KETOTHIOLASE","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"736","ENSAMXG00000028850","Tinaja-Control",-0.894803494,5.23e-05,"","","","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"737","ENSAMXG00000004884","Tinaja-Control",-0.890423793,8.78e-05,"NT5M","5',3'-nucleotidase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:15769]","5' 3' DEOXYRIBONUCLEOTIDASE CYTOSOLIC TYPE EC_3.1.3.- CYTOSOLIC 5' 3' PYRIMIDINE NUCLEOTIDASE DEOXY 5' NUCLEOTIDASE 1 DNT 1","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"738","ENSAMXG00000004870","Tinaja-Control",-0.889748853,0.000395923,"btr33","bloodthirsty-related gene family, member 33 [Source:ZFIN;Acc:ZDB-GENE-090512-4]","AMBIGUOUS","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"739","ENSAMXG00000009959","Tinaja-Control",-0.885495853,0.000697501,"hexb","hexosaminidase B (beta polypeptide) [Source:ZFIN;Acc:ZDB-GENE-030131-2333]","BETA HEXOSAMINIDASE SUBUNIT PRECURSOR EC_3.2.1.52 BETA N ACETYLHEXOSAMINIDASE SUBUNIT HEXOSAMINIDASE SUBUNIT N ACETYL BETA GLUCOSAMINIDASE SUBUNIT","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"740","ENSAMXG00000018786","Tinaja-Control",-0.885105411,0.000129003,"ctsk","cathepsin K [Source:NCBI gene;Acc:103044235]","CATHEPSIN K PRECURSOR EC_3.4.22.38","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"741","ENSAMXG00000003338","Tinaja-Control",-0.884132468,0.000205859,"pllp","plasmolipin [Source:NCBI gene;Acc:103032250]","PLASMOLIPIN PLASMA MEMBRANE PROTEOLIPID","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"742","ENSAMXG00000017905","Tinaja-Control",-0.876703853,0.000550798,"si:dkeyp-73b11.8","boophilin-G2-like [Source:NCBI gene;Acc:103024759]","INHIBITOR","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"743","ENSAMXG00000007262","Tinaja-Control",-0.874025395,0.000162857,"sinhcaf","SIN3-HDAC complex associated factor [Source:NCBI gene;Acc:103028480]","SIN3 HDAC COMPLEX ASSOCIATED FACTOR FAM60A TERA","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"744","ENSAMXG00000027285","Tinaja-Control",-0.864379864,0.000495361,"","","","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"745","ENSAMXG00000010498","Tinaja-Control",-0.853780676,0.0007267,"nsl1","NSL1, MIS12 kinetochore complex component [Source:NCBI gene;Acc:103024429]","KINETOCHORE ASSOCIATED NSL1 HOMOLOG","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"746","ENSAMXG00000014505","Tinaja-Control",-0.829214264,0.000163152,"si:dkey-172m14.2 (1 of many)","arrestin domain-containing protein 3-like [Source:NCBI gene;Acc:103032380]","ARRESTIN DOMAIN CONTAINING","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"747","ENSAMXG00000010680","Tinaja-Control",-0.817263704,0.000628183,"htr4","5-hydroxytryptamine receptor 4 [Source:ZFIN;Acc:ZDB-GENE-160114-31]","5 HYDROXYTRYPTAMINE RECEPTOR 4 5 HT 4 5 HT4 SEROTONIN RECEPTOR 4","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"748","ENSAMXG00000010504","Tinaja-Control",-0.808164409,0.000344277,"flvcr1","feline leukemia virus subgroup C cellular receptor 1 [Source:NCBI gene;Acc:103025580]","AMBIGUOUS","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
