"","Namespace","GO_ID","GO_Term"
"4963","Biological Process","GO:0006462","obsolete protein complex assembly, multichaperone pathway"
"4964","Biological Process","GO:0006463","steroid hormone receptor complex assembly"
"4965","Biological Process","GO:0006464","cellular protein modification process"
"4966","Biological Process","GO:0006465","signal peptide processing"
"4967","Biological Process","GO:0006466","obsolete protein disulfide-isomerase reaction"
"4968","Biological Process","GO:0006468","protein phosphorylation"
"4969","Biological Process","GO:0006469","negative regulation of protein kinase activity"
"4970","Biological Process","GO:0006470","protein dephosphorylation"
"4971","Biological Process","GO:0006471","protein ADP-ribosylation"
"4972","Biological Process","GO:0006473","protein acetylation"
"4973","Biological Process","GO:0006474","N-terminal protein amino acid acetylation"
"4974","Biological Process","GO:0006475","internal protein amino acid acetylation"
"4975","Biological Process","GO:0006476","protein deacetylation"
"4976","Biological Process","GO:0006477","protein sulfation"
"4977","Biological Process","GO:0006478","peptidyl-tyrosine sulfation"
"4978","Biological Process","GO:0006479","protein methylation"
"4979","Biological Process","GO:0006480","N-terminal protein amino acid methylation"
"4980","Biological Process","GO:0006481","C-terminal protein methylation"
"4981","Biological Process","GO:0006482","protein demethylation"
"4982","Biological Process","GO:0006483","obsolete peptidyl-aspartic acid/asparagine hydroxylation"
"4983","Biological Process","GO:0006484","obsolete protein cysteine-thiol oxidation"
"4984","Biological Process","GO:0006486","protein glycosylation"
"4985","Biological Process","GO:0006487","protein N-linked glycosylation"
"4986","Biological Process","GO:0006488","dolichol-linked oligosaccharide biosynthetic process"
"4987","Biological Process","GO:0006489","dolichyl diphosphate biosynthetic process"
"4988","Biological Process","GO:0006490","oligosaccharide-lipid intermediate biosynthetic process"
"4989","Biological Process","GO:0006491","N-glycan processing"
"4990","Biological Process","GO:0006493","protein O-linked glycosylation"
"4991","Biological Process","GO:0006494","obsolete protein amino acid terminal glycosylation"
"4992","Biological Process","GO:0006495","obsolete terminal O-glycosylation"
"4993","Biological Process","GO:0006496","obsolete protein amino acid terminal N-glycosylation"
"4994","Biological Process","GO:0006497","protein lipidation"
"4995","Biological Process","GO:0006498","N-terminal protein lipidation"
"4996","Biological Process","GO:0006499","N-terminal protein myristoylation"
"4997","Biological Process","GO:0006500","N-terminal protein palmitoylation"
"4998","Biological Process","GO:0006501","C-terminal protein lipidation"
"4999","Biological Process","GO:0006502","obsolete C-terminal protein prenylation"
"5000","Biological Process","GO:0006503","obsolete C-terminal protein farnesylation"
"5001","Biological Process","GO:0006504","obsolete C-terminal protein geranylgeranylation"
"5002","Biological Process","GO:0006505","GPI anchor metabolic process"
"5003","Biological Process","GO:0006506","GPI anchor biosynthetic process"
"5004","Biological Process","GO:0006507","GPI anchor release"
"5005","Biological Process","GO:0006508","proteolysis"
"5006","Biological Process","GO:0006509","membrane protein ectodomain proteolysis"
"5007","Biological Process","GO:0006510","obsolete ATP-dependent proteolysis"
"5008","Biological Process","GO:0006511","ubiquitin-dependent protein catabolic process"
"5009","Biological Process","GO:0006512","obsolete ubiquitin cycle"
"5010","Biological Process","GO:0006513","protein monoubiquitination"
"5011","Biological Process","GO:0006515","protein quality control for misfolded or incompletely synthesized proteins"
"5012","Biological Process","GO:0006516","glycoprotein catabolic process"
"5013","Biological Process","GO:0006517","protein deglycosylation"
"5014","Biological Process","GO:0006518","peptide metabolic process"
"5015","Biological Process","GO:0006520","cellular amino acid metabolic process"
"5016","Biological Process","GO:0006521","regulation of cellular amino acid metabolic process"
"5017","Biological Process","GO:0006522","alanine metabolic process"
"5018","Biological Process","GO:0006523","alanine biosynthetic process"
"5019","Biological Process","GO:0006524","alanine catabolic process"
"5020","Biological Process","GO:0006525","arginine metabolic process"
"5021","Biological Process","GO:0006526","arginine biosynthetic process"
"5022","Biological Process","GO:0006527","arginine catabolic process"
"5023","Biological Process","GO:0006528","asparagine metabolic process"
"5024","Biological Process","GO:0006529","asparagine biosynthetic process"
"5025","Biological Process","GO:0006530","asparagine catabolic process"
"5026","Biological Process","GO:0006531","aspartate metabolic process"
"5027","Biological Process","GO:0006532","aspartate biosynthetic process"
"5028","Biological Process","GO:0006533","aspartate catabolic process"
"5029","Biological Process","GO:0006534","cysteine metabolic process"
"5030","Biological Process","GO:0006535","cysteine biosynthetic process from serine"
"5031","Biological Process","GO:0006536","glutamate metabolic process"
"5032","Biological Process","GO:0006537","glutamate biosynthetic process"
"5033","Biological Process","GO:0006538","glutamate catabolic process"
"5034","Biological Process","GO:0006539","glutamate catabolic process via 2-oxoglutarate"
"5035","Biological Process","GO:0006540","glutamate decarboxylation to succinate"
"5036","Biological Process","GO:0006541","glutamine metabolic process"
"5037","Biological Process","GO:0006542","glutamine biosynthetic process"
"5038","Biological Process","GO:0006543","glutamine catabolic process"
"5039","Biological Process","GO:0006544","glycine metabolic process"
"5040","Biological Process","GO:0006545","glycine biosynthetic process"
"5041","Biological Process","GO:0006546","glycine catabolic process"
"5042","Biological Process","GO:0006547","histidine metabolic process"
"5043","Biological Process","GO:0006548","histidine catabolic process"
"5044","Biological Process","GO:0006549","isoleucine metabolic process"
"5045","Biological Process","GO:0006550","isoleucine catabolic process"
"5046","Biological Process","GO:0006551","leucine metabolic process"
"5047","Biological Process","GO:0006552","leucine catabolic process"
"5048","Biological Process","GO:0006553","lysine metabolic process"
"5049","Biological Process","GO:0006554","lysine catabolic process"
"5050","Biological Process","GO:0006555","methionine metabolic process"
"5051","Biological Process","GO:0006556","S-adenosylmethionine biosynthetic process"
"5052","Biological Process","GO:0006557","S-adenosylmethioninamine biosynthetic process"
"5053","Biological Process","GO:0006558","L-phenylalanine metabolic process"
"5054","Biological Process","GO:0006559","L-phenylalanine catabolic process"
"5055","Biological Process","GO:0006560","proline metabolic process"
"5056","Biological Process","GO:0006561","proline biosynthetic process"
"5057","Biological Process","GO:0006562","proline catabolic process"
"5058","Biological Process","GO:0006563","L-serine metabolic process"
"5059","Biological Process","GO:0006564","L-serine biosynthetic process"
"5060","Biological Process","GO:0006565","L-serine catabolic process"
"5061","Biological Process","GO:0006566","threonine metabolic process"
"5062","Biological Process","GO:0006567","threonine catabolic process"
"5063","Biological Process","GO:0006568","tryptophan metabolic process"
"5064","Biological Process","GO:0006569","tryptophan catabolic process"
"5065","Biological Process","GO:0006570","tyrosine metabolic process"
"5066","Biological Process","GO:0006571","tyrosine biosynthetic process"
"5067","Biological Process","GO:0006572","tyrosine catabolic process"
"5068","Biological Process","GO:0006573","valine metabolic process"
"5069","Biological Process","GO:0006574","valine catabolic process"
"5070","Biological Process","GO:0006575","cellular modified amino acid metabolic process"
"5071","Biological Process","GO:0006576","cellular biogenic amine metabolic process"
"5072","Biological Process","GO:0006577","amino-acid betaine metabolic process"
"5073","Biological Process","GO:0006578","amino-acid betaine biosynthetic process"
"5074","Biological Process","GO:0006579","amino-acid betaine catabolic process"
"5075","Biological Process","GO:0006580","ethanolamine metabolic process"
"5076","Biological Process","GO:0006581","acetylcholine catabolic process"
"5077","Biological Process","GO:0006582","melanin metabolic process"
"5078","Biological Process","GO:0006583","melanin biosynthetic process from tyrosine"
"5079","Biological Process","GO:0006584","catecholamine metabolic process"
"5080","Biological Process","GO:0006585","dopamine biosynthetic process from tyrosine"
"5081","Biological Process","GO:0006586","indolalkylamine metabolic process"
"5082","Biological Process","GO:0006587","serotonin biosynthetic process from tryptophan"
"5083","Biological Process","GO:0006588","activation of tryptophan 5-monooxygenase activity"
"5084","Biological Process","GO:0006589","octopamine biosynthetic process"
"5085","Biological Process","GO:0006590","thyroid hormone generation"
"5086","Biological Process","GO:0006591","ornithine metabolic process"
"5087","Biological Process","GO:0006592","ornithine biosynthetic process"
"5088","Biological Process","GO:0006593","ornithine catabolic process"
"5089","Biological Process","GO:0006595","polyamine metabolic process"
"5090","Biological Process","GO:0006596","polyamine biosynthetic process"
"5091","Biological Process","GO:0006597","spermine biosynthetic process"
"5092","Biological Process","GO:0006598","polyamine catabolic process"
"5093","Biological Process","GO:0006599","phosphagen metabolic process"
"5094","Biological Process","GO:0006600","creatine metabolic process"
"5095","Biological Process","GO:0006601","creatine biosynthetic process"
"5096","Biological Process","GO:0006602","creatinine catabolic process"
"5097","Biological Process","GO:0006603","phosphocreatine metabolic process"
"5098","Biological Process","GO:0006604","phosphoarginine metabolic process"
"5099","Biological Process","GO:0006605","protein targeting"
"5100","Biological Process","GO:0006606","protein import into nucleus"
"5101","Biological Process","GO:0006607","NLS-bearing protein import into nucleus"
"5102","Biological Process","GO:0006608","obsolete snRNP protein import into nucleus"
"5103","Biological Process","GO:0006609","obsolete mRNA-binding (hnRNP) protein import into nucleus"
"5104","Biological Process","GO:0006610","ribosomal protein import into nucleus"
"5105","Biological Process","GO:0006611","protein export from nucleus"
"5106","Biological Process","GO:0006612","protein targeting to membrane"
"5107","Biological Process","GO:0006613","cotranslational protein targeting to membrane"
"5108","Biological Process","GO:0006614","SRP-dependent cotranslational protein targeting to membrane"
"5109","Biological Process","GO:0006615","SRP-dependent cotranslational protein targeting to membrane, docking"
"5110","Biological Process","GO:0006616","SRP-dependent cotranslational protein targeting to membrane, translocation"
"5111","Biological Process","GO:0006617","SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition"
"5112","Biological Process","GO:0006618","SRP-dependent cotranslational protein targeting to membrane, signal sequence processing"
"5113","Biological Process","GO:0006619","obsolete SRP-independent cotranslational protein-membrane targeting"
"5114","Biological Process","GO:0006620","posttranslational protein targeting to endoplasmic reticulum membrane"
"5115","Biological Process","GO:0006621","protein retention in ER lumen"
"5116","Biological Process","GO:0006622","protein targeting to lysosome"
"5117","Biological Process","GO:0006623","protein targeting to vacuole"
"5118","Biological Process","GO:0006624","vacuolar protein processing"
"5119","Biological Process","GO:0006625","protein targeting to peroxisome"
"5120","Biological Process","GO:0006626","protein targeting to mitochondrion"
"5121","Biological Process","GO:0006627","protein processing involved in protein targeting to mitochondrion"
"5122","Biological Process","GO:0006628","obsolete mitochondrial translocation"
"5123","Biological Process","GO:0006629","lipid metabolic process"
"5124","Biological Process","GO:0006630","obsolete lipid binding"
"5125","Biological Process","GO:0006631","fatty acid metabolic process"
"5126","Biological Process","GO:0006633","fatty acid biosynthetic process"
"5127","Biological Process","GO:0006634","hexadecanal biosynthetic process"
"5128","Biological Process","GO:0006635","fatty acid beta-oxidation"
"5129","Biological Process","GO:0006636","unsaturated fatty acid biosynthetic process"
"5130","Biological Process","GO:0006637","acyl-CoA metabolic process"
"5131","Biological Process","GO:0006638","neutral lipid metabolic process"
"5132","Biological Process","GO:0006639","acylglycerol metabolic process"
"5133","Biological Process","GO:0006640","monoacylglycerol biosynthetic process"
"5134","Biological Process","GO:0006641","triglyceride metabolic process"
"5135","Biological Process","GO:0006642","triglyceride mobilization"
"5136","Biological Process","GO:0006643","membrane lipid metabolic process"
"5137","Biological Process","GO:0006644","phospholipid metabolic process"
"5138","Biological Process","GO:0006646","phosphatidylethanolamine biosynthetic process"
"5139","Biological Process","GO:0006647","phosphatidyl-N-monomethylethanolamine biosynthetic process"
"5140","Biological Process","GO:0006648","dihydrosphingosine-1-P pathway"
"5141","Biological Process","GO:0006649","phospholipid transfer to membrane"
"5142","Biological Process","GO:0006650","glycerophospholipid metabolic process"
"5143","Biological Process","GO:0006651","diacylglycerol biosynthetic process"
"5144","Biological Process","GO:0006653","1,2-diacyl-sn-glycero-3-phosphocholine metabolic process"
"5145","Biological Process","GO:0006654","phosphatidic acid biosynthetic process"
"5146","Biological Process","GO:0006655","phosphatidylglycerol biosynthetic process"
"5147","Biological Process","GO:0006656","phosphatidylcholine biosynthetic process"
"5148","Biological Process","GO:0006657","CDP-choline pathway"
"5149","Biological Process","GO:0006658","phosphatidylserine metabolic process"
"5150","Biological Process","GO:0006659","phosphatidylserine biosynthetic process"
"5151","Biological Process","GO:0006660","phosphatidylserine catabolic process"
"5152","Biological Process","GO:0006661","phosphatidylinositol biosynthetic process"
"5153","Biological Process","GO:0006662","glycerol ether metabolic process"
"5154","Biological Process","GO:0006663","platelet activating factor biosynthetic process"
"5155","Biological Process","GO:0006664","glycolipid metabolic process"
"5156","Biological Process","GO:0006665","sphingolipid metabolic process"
"5157","Biological Process","GO:0006666","3-keto-sphinganine metabolic process"
"5158","Biological Process","GO:0006667","sphinganine metabolic process"
"5159","Biological Process","GO:0006668","sphinganine-1-phosphate metabolic process"
"5160","Biological Process","GO:0006669","sphinganine-1-phosphate biosynthetic process"
"5161","Biological Process","GO:0006670","sphingosine metabolic process"
"5162","Biological Process","GO:0006671","phytosphingosine metabolic process"
"5163","Biological Process","GO:0006672","ceramide metabolic process"
"5164","Biological Process","GO:0006673","inositol phosphoceramide metabolic process"
"5165","Biological Process","GO:0006675","mannosyl-inositol phosphorylceramide metabolic process"
"5166","Biological Process","GO:0006676","mannosyl diphosphorylinositol ceramide metabolic process"
"5167","Biological Process","GO:0006677","glycosylceramide metabolic process"
"5168","Biological Process","GO:0006678","glucosylceramide metabolic process"
"5169","Biological Process","GO:0006679","glucosylceramide biosynthetic process"
"5170","Biological Process","GO:0006680","glucosylceramide catabolic process"
"5171","Biological Process","GO:0006681","galactosylceramide metabolic process"
"5172","Biological Process","GO:0006682","galactosylceramide biosynthetic process"
"5173","Biological Process","GO:0006683","galactosylceramide catabolic process"
"5174","Biological Process","GO:0006684","sphingomyelin metabolic process"
"5175","Biological Process","GO:0006685","sphingomyelin catabolic process"
"5176","Biological Process","GO:0006686","sphingomyelin biosynthetic process"
"5177","Biological Process","GO:0006687","glycosphingolipid metabolic process"
"5178","Biological Process","GO:0006688","glycosphingolipid biosynthetic process"
"5179","Biological Process","GO:0006689","ganglioside catabolic process"
"5180","Biological Process","GO:0006690","icosanoid metabolic process"
"5181","Biological Process","GO:0006691","leukotriene metabolic process"
"5182","Biological Process","GO:0006692","prostanoid metabolic process"
"5183","Biological Process","GO:0006693","prostaglandin metabolic process"
"5184","Biological Process","GO:0006694","steroid biosynthetic process"
"5185","Biological Process","GO:0006695","cholesterol biosynthetic process"
"5186","Biological Process","GO:0006696","ergosterol biosynthetic process"
"5187","Biological Process","GO:0006697","ecdysone biosynthetic process"
"5188","Biological Process","GO:0006698","obsolete ecdysone modification"
"5189","Biological Process","GO:0006699","bile acid biosynthetic process"
"5190","Biological Process","GO:0006700","C21-steroid hormone biosynthetic process"
"5191","Biological Process","GO:0006701","progesterone biosynthetic process"
"5192","Biological Process","GO:0006702","androgen biosynthetic process"
"5193","Biological Process","GO:0006703","estrogen biosynthetic process"
"5194","Biological Process","GO:0006704","glucocorticoid biosynthetic process"
"5195","Biological Process","GO:0006705","mineralocorticoid biosynthetic process"
"5196","Biological Process","GO:0006706","steroid catabolic process"
"5197","Biological Process","GO:0006707","cholesterol catabolic process"
"5198","Biological Process","GO:0006708","ecdysone catabolic process"
"5199","Biological Process","GO:0006709","progesterone catabolic process"
"5200","Biological Process","GO:0006710","androgen catabolic process"
"5201","Biological Process","GO:0006711","estrogen catabolic process"
"5202","Biological Process","GO:0006712","mineralocorticoid catabolic process"
"5203","Biological Process","GO:0006713","glucocorticoid catabolic process"
"5204","Biological Process","GO:0006714","sesquiterpenoid metabolic process"
"5205","Biological Process","GO:0006715","farnesol biosynthetic process"
"5206","Biological Process","GO:0006716","juvenile hormone metabolic process"
"5207","Biological Process","GO:0006717","obsolete juvenile hormone binding"
"5208","Biological Process","GO:0006718","juvenile hormone biosynthetic process"
"5209","Biological Process","GO:0006719","juvenile hormone catabolic process"
"5210","Biological Process","GO:0006720","isoprenoid metabolic process"
"5211","Biological Process","GO:0006721","terpenoid metabolic process"
"5212","Biological Process","GO:0006722","triterpenoid metabolic process"
"5213","Biological Process","GO:0006723","cuticle hydrocarbon biosynthetic process"
"5214","Biological Process","GO:0006725","cellular aromatic compound metabolic process"
"5215","Biological Process","GO:0006726","eye pigment biosynthetic process"
"5216","Biological Process","GO:0006727","ommochrome biosynthetic process"
"5217","Biological Process","GO:0006728","pteridine biosynthetic process"
"5218","Biological Process","GO:0006729","tetrahydrobiopterin biosynthetic process"
"5219","Biological Process","GO:0006730","one-carbon metabolic process"
"5220","Biological Process","GO:0006731","obsolete coenzyme and prosthetic group metabolic process"
"5221","Biological Process","GO:0006732","obsolete coenzyme metabolic process"
"5222","Biological Process","GO:0006733","obsolete oxidoreduction coenzyme metabolic process"
"5223","Biological Process","GO:0006734","NADH metabolic process"
"5224","Biological Process","GO:0006735","NADH regeneration"
"5225","Biological Process","GO:0006738","nicotinamide riboside catabolic process"
"5226","Biological Process","GO:0006739","NADP metabolic process"
"5227","Biological Process","GO:0006740","NADPH regeneration"
"5228","Biological Process","GO:0006741","NADP biosynthetic process"
"5229","Biological Process","GO:0006742","NADP catabolic process"
"5230","Biological Process","GO:0006743","ubiquinone metabolic process"
"5231","Biological Process","GO:0006744","ubiquinone biosynthetic process"
"5232","Biological Process","GO:0006746","FADH2 metabolic process"
"5233","Biological Process","GO:0006747","FAD biosynthetic process"
"5234","Biological Process","GO:0006748","lipoamide metabolic process"
"5235","Biological Process","GO:0006749","glutathione metabolic process"
"5236","Biological Process","GO:0006750","glutathione biosynthetic process"
"5237","Biological Process","GO:0006751","glutathione catabolic process"
"5238","Biological Process","GO:0006753","nucleoside phosphate metabolic process"
"5239","Biological Process","GO:0006754","ATP biosynthetic process"
"5240","Biological Process","GO:0006755","obsolete carbamoyl phosphate-ADP transphosphorylation"
"5241","Biological Process","GO:0006756","AMP phosphorylation"
"5242","Biological Process","GO:0006757","ATP generation from ADP"
"5243","Biological Process","GO:0006760","folic acid-containing compound metabolic process"
"5244","Biological Process","GO:0006761","dihydrofolate biosynthetic process"
"5245","Biological Process","GO:0006762","obsolete dihydrofolate reduction"
"5246","Biological Process","GO:0006766","vitamin metabolic process"
"5247","Biological Process","GO:0006767","water-soluble vitamin metabolic process"
"5248","Biological Process","GO:0006768","biotin metabolic process"
"5249","Biological Process","GO:0006769","nicotinamide metabolic process"
"5250","Biological Process","GO:0006771","riboflavin metabolic process"
"5251","Biological Process","GO:0006772","thiamine metabolic process"
"5252","Biological Process","GO:0006774","obsolete vitamin B12 reduction"
"5253","Biological Process","GO:0006775","fat-soluble vitamin metabolic process"
"5254","Biological Process","GO:0006776","vitamin A metabolic process"
"5255","Biological Process","GO:0006777","Mo-molybdopterin cofactor biosynthetic process"
"5256","Biological Process","GO:0006778","porphyrin-containing compound metabolic process"
"5257","Biological Process","GO:0006779","porphyrin-containing compound biosynthetic process"
"5258","Biological Process","GO:0006780","uroporphyrinogen III biosynthetic process"
"5259","Biological Process","GO:0006781","succinyl-CoA pathway"
"5260","Biological Process","GO:0006782","protoporphyrinogen IX biosynthetic process"
"5261","Biological Process","GO:0006783","heme biosynthetic process"
"5262","Biological Process","GO:0006784","heme A biosynthetic process"
"5263","Biological Process","GO:0006785","heme B biosynthetic process"
"5264","Biological Process","GO:0006786","heme C biosynthetic process"
"5265","Biological Process","GO:0006787","porphyrin-containing compound catabolic process"
"5266","Biological Process","GO:0006788","heme oxidation"
"5267","Biological Process","GO:0006789","bilirubin conjugation"
"5268","Biological Process","GO:0006790","sulfur compound metabolic process"
"5269","Biological Process","GO:0006791","sulfur utilization"
"5270","Biological Process","GO:0006792","regulation of sulfur utilization"
"5271","Biological Process","GO:0006793","phosphorus metabolic process"
"5272","Biological Process","GO:0006794","phosphorus utilization"
"5273","Biological Process","GO:0006795","regulation of phosphorus utilization"
"5274","Biological Process","GO:0006796","phosphate-containing compound metabolic process"
"5275","Biological Process","GO:0006797","polyphosphate metabolic process"
"5276","Biological Process","GO:0006798","polyphosphate catabolic process"
"5277","Biological Process","GO:0006799","polyphosphate biosynthetic process"
"5278","Biological Process","GO:0006800","obsolete oxygen and reactive oxygen species metabolic process"
"5279","Biological Process","GO:0006801","superoxide metabolic process"
"5280","Biological Process","GO:0006802","obsolete catalase reaction"
"5281","Biological Process","GO:0006803","obsolete glutathione conjugation reaction"
"5282","Biological Process","GO:0006804","obsolete peroxidase reaction"
"5283","Biological Process","GO:0006805","xenobiotic metabolic process"
"5284","Biological Process","GO:0006806","obsolete insecticide resistance"
"5285","Biological Process","GO:0006807","nitrogen compound metabolic process"
"5286","Biological Process","GO:0006808","regulation of nitrogen utilization"
"5287","Biological Process","GO:0006809","nitric oxide biosynthetic process"
"5288","Biological Process","GO:0006810","transport"
"5289","Biological Process","GO:0006811","ion transport"
"5290","Biological Process","GO:0006812","cation transport"
"5291","Biological Process","GO:0006813","potassium ion transport"
"5292","Biological Process","GO:0006814","sodium ion transport"
"5293","Biological Process","GO:0006815","obsolete sodium/potassium transport"
"5294","Biological Process","GO:0006816","calcium ion transport"
"5295","Biological Process","GO:0006817","phosphate ion transport"
"5296","Biological Process","GO:0006820","anion transport"
"5297","Biological Process","GO:0006821","chloride transport"
"5298","Biological Process","GO:0006823","obsolete heavy metal ion transport"
"5299","Biological Process","GO:0006824","cobalt ion transport"
"5300","Biological Process","GO:0006825","copper ion transport"
"5301","Biological Process","GO:0006826","iron ion transport"
"5302","Biological Process","GO:0006828","manganese ion transport"
"5303","Biological Process","GO:0006829","zinc ion transport"
"5304","Biological Process","GO:0006832","obsolete small molecule transport"
"5305","Biological Process","GO:0006833","water transport"
"5306","Biological Process","GO:0006835","dicarboxylic acid transport"
"5307","Biological Process","GO:0006836","neurotransmitter transport"
"5308","Biological Process","GO:0006837","serotonin transport"
"5309","Biological Process","GO:0006838","obsolete allantoin/allantoate transport"
"5310","Biological Process","GO:0006839","mitochondrial transport"
"5311","Biological Process","GO:0006840","obsolete mitochondrial alpha-ketoglutarate/malate transport"
"5312","Biological Process","GO:0006842","tricarboxylic acid transport"
"5313","Biological Process","GO:0006843","mitochondrial citrate transmembrane transport"
"5314","Biological Process","GO:0006844","acyl carnitine transport"
"5315","Biological Process","GO:0006845","obsolete mitochondrial aspartate/glutamate transport"
"5316","Biological Process","GO:0006846","acetate transport"
"5317","Biological Process","GO:0006847","plasma membrane acetate transport"
"5318","Biological Process","GO:0006848","pyruvate transport"
"5319","Biological Process","GO:0006849","plasma membrane pyruvate transport"
"5320","Biological Process","GO:0006850","mitochondrial pyruvate transmembrane transport"
"5321","Biological Process","GO:0006851","mitochondrial calcium ion transmembrane transport"
"5322","Biological Process","GO:0006852","obsolete mitochondrial sodium/calcium ion exchange"
"5323","Biological Process","GO:0006853","carnitine shuttle"
"5324","Biological Process","GO:0006854","obsolete ATP/ADP exchange"
"5325","Biological Process","GO:0006855","xenobiotic transmembrane transport"
"5326","Biological Process","GO:0006856","eye pigment precursor transport"
"5327","Biological Process","GO:0006857","oligopeptide transport"
"5328","Biological Process","GO:0006858","extracellular transport"
"5329","Biological Process","GO:0006859","extracellular carbohydrate transport"
"5330","Biological Process","GO:0006860","extracellular amino acid transport"
"5331","Biological Process","GO:0006862","nucleotide transport"
"5332","Biological Process","GO:0006863","purine nucleobase transport"
"5333","Biological Process","GO:0006864","pyrimidine nucleotide transport"
"5334","Biological Process","GO:0006865","amino acid transport"
"5335","Biological Process","GO:0006867","asparagine transport"
"5336","Biological Process","GO:0006868","glutamine transport"
"5337","Biological Process","GO:0006869","lipid transport"
"5338","Biological Process","GO:0006873","cellular ion homeostasis"
"5339","Biological Process","GO:0006874","cellular calcium ion homeostasis"
"5340","Biological Process","GO:0006875","cellular metal ion homeostasis"
"5341","Biological Process","GO:0006876","cellular cadmium ion homeostasis"
"5342","Biological Process","GO:0006877","cellular cobalt ion homeostasis"
"5343","Biological Process","GO:0006878","cellular copper ion homeostasis"
"5344","Biological Process","GO:0006879","cellular iron ion homeostasis"
"5345","Biological Process","GO:0006880","intracellular sequestering of iron ion"
"5346","Biological Process","GO:0006881","extracellular sequestering of iron ion"
"5347","Biological Process","GO:0006882","cellular zinc ion homeostasis"
"5348","Biological Process","GO:0006883","cellular sodium ion homeostasis"
"5349","Biological Process","GO:0006884","cell volume homeostasis"
"5350","Biological Process","GO:0006885","regulation of pH"
"5351","Biological Process","GO:0006886","intracellular protein transport"
"5352","Biological Process","GO:0006887","exocytosis"
"5353","Biological Process","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport"
"5354","Biological Process","GO:0006889","obsolete regulation of calcium in ER"
"5355","Biological Process","GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"
"5356","Biological Process","GO:0006891","intra-Golgi vesicle-mediated transport"
"5357","Biological Process","GO:0006892","post-Golgi vesicle-mediated transport"
"5358","Biological Process","GO:0006893","Golgi to plasma membrane transport"
"5359","Biological Process","GO:0006894","obsolete Golgi to secretory vesicle transport"
"5360","Biological Process","GO:0006895","Golgi to endosome transport"
"5361","Biological Process","GO:0006896","Golgi to vacuole transport"
"5362","Biological Process","GO:0006897","endocytosis"
"5363","Biological Process","GO:0006898","receptor-mediated endocytosis"
"5364","Biological Process","GO:0006900","vesicle budding from membrane"
"5365","Biological Process","GO:0006901","vesicle coating"
"5366","Biological Process","GO:0006903","vesicle targeting"
"5367","Biological Process","GO:0006904","vesicle docking involved in exocytosis"
"5368","Biological Process","GO:0006905","obsolete vesicle transport"
"5369","Biological Process","GO:0006906","vesicle fusion"
"5370","Biological Process","GO:0006907","pinocytosis"
"5371","Biological Process","GO:0006909","phagocytosis"
"5372","Biological Process","GO:0006910","phagocytosis, recognition"
"5373","Biological Process","GO:0006911","phagocytosis, engulfment"
"5374","Biological Process","GO:0006912","obsolete phagosome formation"
"5375","Biological Process","GO:0006913","nucleocytoplasmic transport"
"5376","Biological Process","GO:0006914","autophagy"
"5377","Biological Process","GO:0006915","apoptotic process"
"5378","Biological Process","GO:0006918","obsolete induction of apoptosis by p53"
"5379","Biological Process","GO:0006919","activation of cysteine-type endopeptidase activity involved in apoptotic process"
"5380","Biological Process","GO:0006920","obsolete commitment to apoptosis"
"5381","Biological Process","GO:0006921","cellular component disassembly involved in execution phase of apoptosis"
"5382","Biological Process","GO:0006922","obsolete cleavage of lamin involved in execution phase of apoptosis"
"5383","Biological Process","GO:0006923","obsolete cleavage of cytoskeletal proteins involved in execution phase of apoptosis"
"5384","Biological Process","GO:0006924","activation-induced cell death of T cells"
"5385","Biological Process","GO:0006925","inflammatory cell apoptotic process"
"5386","Biological Process","GO:0006926","obsolete virus-infected cell apoptotic process"
"5387","Biological Process","GO:0006927","obsolete transformed cell apoptotic process"
"5388","Biological Process","GO:0006928","movement of cell or subcellular component"
"5389","Biological Process","GO:0006929","substrate-dependent cell migration"
"5390","Biological Process","GO:0006930","substrate-dependent cell migration, cell extension"
"5391","Biological Process","GO:0006931","substrate-dependent cell migration, cell attachment to substrate"
"5392","Biological Process","GO:0006932","substrate-dependent cell migration, cell contraction"
"5393","Biological Process","GO:0006933","negative regulation of cell adhesion involved in substrate-bound cell migration"
"5394","Biological Process","GO:0006934","substrate-bound cell migration, adhesion receptor recycling"
"5395","Biological Process","GO:0006935","chemotaxis"
"5396","Biological Process","GO:0006936","muscle contraction"
"5397","Biological Process","GO:0006937","regulation of muscle contraction"
"5398","Biological Process","GO:0006939","smooth muscle contraction"
"5399","Biological Process","GO:0006940","regulation of smooth muscle contraction"
"5400","Biological Process","GO:0006941","striated muscle contraction"
"5401","Biological Process","GO:0006942","regulation of striated muscle contraction"
"5402","Biological Process","GO:0006943","obsolete chemi-mechanical coupling"
"5403","Biological Process","GO:0006945","obsolete nuclear fusion during karyogamy"
"5404","Biological Process","GO:0006948","induction by virus of host cell-cell fusion"
"5405","Biological Process","GO:0006949","syncytium formation"
"5406","Biological Process","GO:0006950","response to stress"
"5407","Biological Process","GO:0006952","defense response"
"5408","Biological Process","GO:0006953","acute-phase response"
"5409","Biological Process","GO:0006954","inflammatory response"
"5410","Biological Process","GO:0006955","immune response"
"5411","Biological Process","GO:0006956","complement activation"
"5412","Biological Process","GO:0006957","complement activation, alternative pathway"
"5413","Biological Process","GO:0006958","complement activation, classical pathway"
